Data Hora;Nivel_Sensor(cm);Nivel_Display(cm);Chuva(mm);Chuva_Acum_Datalogger(mm);Temp_H2O;Press_Atm(mb);Temp_Int(C);Bateria(V);OffSet(cm)
06/10/2023 00:00:00;   153;;;  65.2; 24.3; 929.8; 24.3;12.9;    81
06/10/2023 00:15:00;   154;;;  65.2; 24.3; 929.8; 24.3;12.9;    81
06/10/2023 00:30:00;   153;;;  65.2; 24.3; 929.8; 24.3;12.9;    81
06/10/2023 00:45:00;   154;;;  65.2; 24.3; 929.8; 24.3;12.9;    81
06/10/2023 01:00:00;   154;;;  65.2; 24.2; 930.1; 23.3;12.7;    81
06/10/2023 01:15:00;   154;;;  65.2; 24.2; 930.1; 23.3;12.7;    81
06/10/2023 01:30:00;   154;;;  65.2; 24.2; 930.1; 23.3;12.7;    81
06/10/2023 01:45:00;   154;;;  65.2; 24.2; 930.1; 23.3;12.7;    81
06/10/2023 02:00:00;   154;;;  65.6; 24.1; 930.1; 22.7;12.6;    81
06/10/2023 02:15:00;   154;;;  65.6; 24.1; 930.1; 22.7;12.6;    81
06/10/2023 02:30:00;   154;;;  65.8; 24.1; 930.1; 22.7;12.6;    81
06/10/2023 02:45:00;   154;;;  66.6; 24.1; 930.1; 22.7;12.6;    81
06/10/2023 03:00:00;   154;;;  68.2; 23.8; 931.4; 22.2;12.6;    81
06/10/2023 03:15:00;   156;;;  76.0; 23.8; 931.4; 22.2;12.6;    81
06/10/2023 03:30:00;   157;;;  79.0; 23.8; 931.4; 22.2;12.6;    81
06/10/2023 03:45:00;   157;;;  82.4; 23.8; 931.4; 22.2;12.6;    81
06/10/2023 04:00:00;   158;;;  87.4; 23.6; 931.9; 21.5;12.6;    81
06/10/2023 04:15:00;   159;;;  89.0; 23.6; 931.9; 21.5;12.6;    81
06/10/2023 04:30:00;   160;;;  92.4; 23.6; 931.9; 21.5;12.6;    81
06/10/2023 04:45:00;   162;;;  95.4; 23.6; 931.9; 21.5;12.6;    81
06/10/2023 05:00:00;   162;;;  96.2; 23.6; 932.4; 21.4;12.6;    81
06/10/2023 05:15:00;   163;;;  97.4; 23.6; 932.4; 21.4;12.6;    81
06/10/2023 05:30:00;   164;;;  98.2; 23.6; 932.4; 21.4;12.6;    81
06/10/2023 05:45:00;   166;;;  98.6; 23.6; 932.4; 21.4;12.6;    81
06/10/2023 06:00:00;   168;;;  99.8; 23.5; 932.6; 21.3;12.6;    81
06/10/2023 06:15:00;   170;;; 100.0; 23.5; 932.6; 21.3;12.6;    81
06/10/2023 06:30:00;   173;;; 100.0; 23.5; 932.6; 21.3;12.6;    81
06/10/2023 06:45:00;   176;;; 100.0; 23.5; 932.6; 21.3;12.6;    81
06/10/2023 07:00:00;   180;;; 100.0; 23.4; 933.0; 21.6;12.8;    81
06/10/2023 07:15:00;   183;;; 100.0; 23.4; 933.0; 21.6;12.8;    81
06/10/2023 07:30:00;   185;;; 100.0; 23.4; 933.0; 21.6;12.8;    81
06/10/2023 07:45:00;   192;;; 100.0; 23.4; 933.0; 21.6;12.8;    81
06/10/2023 08:00:00;   203;192;; 100.2; 23.3; 933.0; 23.2;13.4;    81
06/10/2023 08:15:00;   216;192;; 100.2; 23.3; 933.0; 23.2;13.4;    81
06/10/2023 08:30:00;   224;192;; 100.2; 23.3; 933.0; 23.2;13.4;    81
06/10/2023 08:45:00;   229;192;; 100.2; 23.3; 933.0; 23.2;13.4;    81
06/10/2023 09:00:00;   232;;; 100.2; 23.5; 932.8; 26.3;14.0;    81
06/10/2023 09:15:00;   232;;; 100.2; 23.5; 932.8; 26.3;14.0;    81
06/10/2023 09:30:00;   231;;; 100.2; 23.5; 932.8; 26.3;14.0;    81
06/10/2023 09:45:00;   229;;; 100.2; 23.5; 932.8; 26.3;14.0;    81
06/10/2023 10:00:00;   226;;; 100.2; 23.1; 932.5; 29.0;14.0;    81
06/10/2023 10:15:00;   223;;; 100.2; 23.1; 932.5; 29.0;14.0;    81
06/10/2023 10:30:00;   219;;; 100.2; 23.1; 932.5; 29.0;14.0;    81
06/10/2023 10:45:00;   215;;; 100.2; 23.1; 932.5; 29.0;14.0;    81
06/10/2023 11:00:00;   211;;; 100.2; 23.1; 932.1; 31.0;14.0;    81
06/10/2023 11:15:00;   207;;; 100.2; 23.1; 932.1; 31.0;14.0;    81
06/10/2023 11:30:00;   204;;; 100.2; 23.1; 932.1; 31.0;14.0;    81
06/10/2023 11:45:00;   201;;; 100.2; 23.1; 932.1; 31.0;14.0;    81
06/10/2023 12:00:00;   198;;; 100.2; 23.4; 931.1; 32.7;13.9;    81
06/10/2023 12:15:00;   195;;; 100.2; 23.4; 931.1; 32.7;13.9;    81
06/10/2023 12:30:00;   193;;; 100.2; 23.4; 931.1; 32.7;13.9;    81
06/10/2023 12:45:00;   191;;; 100.2; 23.4; 931.1; 32.7;13.9;    81
06/10/2023 13:00:00;   190;;; 100.2; 23.6; 930.2; 33.6;13.7;    81
06/10/2023 13:15:00;   188;;; 100.2; 23.6; 930.2; 33.6;13.7;    81
06/10/2023 13:30:00;   187;;; 100.2; 23.6; 930.2; 33.6;13.7;    81
06/10/2023 13:45:00;   185;;; 100.2; 23.6; 930.2; 33.6;13.7;    81
06/10/2023 14:00:00;   184;;; 100.2; 23.8; 929.6; 33.2;13.4;    81
06/10/2023 14:15:00;   183;;; 100.2; 23.8; 929.6; 33.2;13.4;    81
