Data Hora;Nivel_Sensor(cm);Nivel_Display(cm);Chuva(mm);Chuva_Acum_Datalogger(mm);Temp_H2O;Press_Atm(mb);Temp_Int(C);Bateria(V);OffSet(cm)
06/10/2023 23:15:00;    58;;;   0.0; 27.4; 954.3; 27.1;12.9;   -35
06/10/2023 23:30:00;    58;;;   0.0; 27.4; 954.3; 27.1;12.9;   -35
06/10/2023 23:45:00;    58;;;   0.0; 27.4; 954.3; 27.1;12.9;   -35
07/10/2023 00:00:00;    58;;;   0.0; 27.4; 954.3; 27.1;12.9;   -35
06/10/2023 23:15:00;    58;;;   0.0; 27.4; 954.3; 27.1;12.9;   -35
06/10/2023 23:30:00;    58;;;   0.0; 27.4; 954.3; 27.1;12.9;   -35
06/10/2023 23:45:00;    58;;;   0.0; 27.4; 954.3; 27.1;12.9;   -35
07/10/2023 00:00:00;    58;;;   0.0; 27.4; 954.3; 27.1;12.9;   -35
05/10/2023 23:45:00;    20;;;  14.4; 26.7; 957.1; 28.0;12.9;   -54
06/10/2023 00:00:00;    21;;;  14.4; 26.7; 957.1; 28.0;12.9;   -54
06/10/2023 00:15:00;    21;;;  14.4; 26.7; 957.1; 28.0;12.9;   -54
06/10/2023 00:30:00;    21;;;  14.4; 26.7; 957.1; 28.0;12.9;   -54
06/10/2023 00:45:00;    21;;;  14.4; 26.7; 956.3; 26.7;12.9;   -54
06/10/2023 01:00:00;    21;;;  14.4; 26.7; 956.3; 26.7;12.9;   -54
06/10/2023 01:15:00;    21;;;  14.4; 26.7; 956.3; 26.7;12.9;   -54
06/10/2023 01:30:00;    21;;;  14.4; 26.7; 956.3; 26.7;12.9;   -54
06/10/2023 01:45:00;    21;;;  14.4; 26.7; 955.7; 25.8;12.9;   -54
06/10/2023 02:00:00;    21;;;  14.4; 26.7; 955.7; 25.8;12.9;   -54
06/10/2023 02:15:00;    21;;;  14.4; 26.7; 955.7; 25.8;12.9;   -54
06/10/2023 02:30:00;    21;;;  14.4; 26.7; 955.7; 25.8;12.9;   -54
06/10/2023 02:45:00;    21;;;  14.4; 26.7; 955.6; 25.2;12.8;   -54
06/10/2023 03:00:00;    21;;;  14.4; 26.7; 955.6; 25.2;12.8;   -54
06/10/2023 03:15:00;    21;;;  14.4; 26.7; 955.6; 25.2;12.8;   -54
06/10/2023 03:30:00;    21;;;  14.4; 26.7; 955.6; 25.2;12.8;   -54
06/10/2023 03:45:00;    21;;;  14.4; 26.7; 955.9; 24.5;12.8;   -54
06/10/2023 04:00:00;    21;;;  14.4; 26.7; 955.9; 24.5;12.8;   -54
06/10/2023 04:15:00;    21;;;  14.4; 26.7; 955.9; 24.5;12.8;   -54
06/10/2023 04:30:00;    21;;;  14.4; 26.7; 955.9; 24.5;12.8;   -54
06/10/2023 04:45:00;    21;;;  14.4; 26.7; 956.7; 24.0;12.8;   -54
06/10/2023 05:00:00;    21;;;  14.4; 26.7; 956.7; 24.0;12.8;   -54
06/10/2023 05:15:00;    21;;;  14.4; 26.7; 956.7; 24.0;12.8;   -54
06/10/2023 05:30:00;    22;;;  14.4; 26.7; 956.7; 24.0;12.8;   -54
06/10/2023 05:45:00;    22;;;  14.4; 26.6; 957.3; 24.0;12.8;   -54
06/10/2023 06:00:00;    22;;;  14.4; 26.6; 957.3; 24.0;12.8;   -54
06/10/2023 06:15:00;    22;;;  14.4; 26.6; 957.3; 24.0;12.8;   -54
06/10/2023 06:30:00;    22;;;  14.4; 26.6; 957.3; 24.0;12.8;   -54
06/10/2023 06:45:00;    22;;;  14.4; 26.6; 958.0; 25.1;13.1;   -54
06/10/2023 07:00:00;    22;;;  14.4; 26.6; 958.0; 25.1;13.1;   -54
06/10/2023 07:15:00;    22;;;  14.4; 26.6; 958.0; 25.1;13.1;   -54
06/10/2023 07:30:00;    22;;;  14.4; 26.6; 958.0; 25.1;13.1;   -54
06/10/2023 07:45:00;    22;;;  14.4; 26.7; 958.7; 28.3;14.0;   -54
06/10/2023 08:00:00;    22;;;  14.4; 26.7; 958.7; 28.3;14.0;   -54
06/10/2023 08:15:00;    22;;;  14.4; 26.7; 958.7; 28.3;14.0;   -54
06/10/2023 08:30:00;    22;;;  14.4; 26.7; 958.7; 28.3;14.0;   -54
06/10/2023 08:45:00;    22;;;  14.4; 26.8; 959.1; 30.6;14.1;   -54
06/10/2023 09:00:00;    22;;;  14.4; 26.8; 959.1; 30.6;14.1;   -54
06/10/2023 09:15:00;    22;;;  14.4; 26.8; 959.1; 30.6;14.1;   -54
06/10/2023 09:30:00;    22;;;  14.4; 26.8; 959.1; 30.6;14.1;   -54
06/10/2023 09:45:00;    22;;;  14.4; 27.0; 958.9; 33.7;14.0;   -54
06/10/2023 10:00:00;    22;;;  14.4; 27.0; 958.9; 33.7;14.0;   -54
06/10/2023 10:15:00;    22;;;  14.4; 27.0; 958.9; 33.7;14.0;   -54
06/10/2023 10:30:00;    22;;;  14.4; 27.0; 958.9; 33.7;14.0;   -54
06/10/2023 10:45:00;    22;;;  14.4; 27.3; 958.6; 34.6;14.0;   -54
06/10/2023 11:00:00;    22;;;  14.4; 27.3; 958.6; 34.6;14.0;   -54
06/10/2023 11:15:00;    22;;;  14.4; 27.3; 958.6; 34.6;14.0;   -54
06/10/2023 11:30:00;    22;;;  14.4; 27.3; 958.6; 34.6;14.0;   -54
06/10/2023 11:45:00;    21;;;  14.4; 27.5; 957.7; 35.8;13.9;   -54
06/10/2023 12:00:00;    22;;;  14.4; 27.5; 957.7; 35.8;13.9;   -54
06/10/2023 12:15:00;    22;;;  14.4; 27.5; 957.7; 35.8;13.9;   -54
06/10/2023 12:30:00;    22;;;  14.4; 27.5; 957.7; 35.8;13.9;   -54
06/10/2023 12:45:00;    22;;;  14.4; 27.9; 956.6; 37.0;13.9;   -54
06/10/2023 13:00:00;    21;;;  14.4; 27.9; 956.6; 37.0;13.9;   -54
06/10/2023 13:15:00;    22;;;  14.4; 27.9; 956.6; 37.0;13.9;   -54
06/10/2023 13:30:00;    22;;;  14.4; 27.9; 956.6; 37.0;13.9;   -54
06/10/2023 13:45:00;    22;;;  14.4; 28.0; 955.6; 37.7;13.7;   -54
06/10/2023 14:00:00;    22;;;  14.4; 28.0; 955.6; 37.7;13.7;   -54
06/10/2023 14:15:00;    22;;;  14.4; 28.0; 955.6; 37.7;13.7;   -54
06/10/2023 14:30:00;    22;;;  14.4; 28.0; 955.6; 37.7;13.7;   -54
06/10/2023 14:45:00;    22;;;  14.4; 28.2; 955.1; 38.1;13.6;   -54
