Data Hora;Nivel_Sensor(cm);Nivel_Display(cm);Chuva(mm);Chuva_Acum_Datalogger(mm);Temp_H2O;Press_Atm(mb);Temp_Int(C);Bateria(V);OffSet(cm)
05/10/2023 23:15:00;   150;;; 114.2;/////;1008.6; 27.9;12.9;  -814
05/10/2023 23:30:00;   150;;; 114.2;/////;1008.6; 27.9;12.9;  -814
05/10/2023 23:45:00;   150;;; 114.2;/////;1008.6; 27.9;12.9;  -814
06/10/2023 00:00:00;   150;;; 114.2;/////;1008.6; 27.9;12.9;  -814
06/10/2023 00:15:00;   150;;; 114.2;/////;1008.2; 27.2;12.9;  -814
06/10/2023 00:30:00;   150;;; 114.2;/////;1008.2; 27.2;12.9;  -814
06/10/2023 00:45:00;   150;;; 114.2;/////;1008.2; 27.2;12.9;  -814
06/10/2023 01:00:00;   150;;; 114.2;/////;1008.2; 27.2;12.9;  -814
06/10/2023 01:15:00;   150;;; 114.2;/////;1007.6; 26.6;12.9;  -814
06/10/2023 01:30:00;   150;;; 114.2;/////;1007.6; 26.6;12.9;  -814
06/10/2023 01:45:00;   150;;; 114.2;/////;1007.6; 26.6;12.9;  -814
06/10/2023 02:00:00;   150;;; 114.2;/////;1007.6; 26.6;12.9;  -814
06/10/2023 02:15:00;   150;;; 114.2;/////;1007.3; 26.2;12.9;  -814
06/10/2023 02:30:00;   150;;; 114.2;/////;1007.3; 26.2;12.9;  -814
06/10/2023 02:45:00;   150;;; 114.2;/////;1007.3; 26.2;12.9;  -814
06/10/2023 03:00:00;   150;;; 114.2;/////;1007.3; 26.2;12.9;  -814
06/10/2023 03:15:00;   150;;; 114.2;/////;1007.3; 25.8;12.9;  -814
06/10/2023 03:30:00;   150;;; 114.2;/////;1007.3; 25.8;12.9;  -814
06/10/2023 03:45:00;   150;;; 114.2;/////;1007.3; 25.8;12.9;  -814
06/10/2023 04:00:00;   150;;; 114.2;/////;1007.3; 25.8;12.9;  -814
06/10/2023 04:15:00;   150;;; 114.2;/////;1008.1; 25.3;12.8;  -814
06/10/2023 04:30:00;   150;;; 114.2;/////;1008.1; 25.3;12.8;  -814
06/10/2023 04:45:00;   150;;; 114.2;/////;1008.1; 25.3;12.8;  -814
06/10/2023 05:00:00;   150;;; 114.2;/////;1008.1; 25.3;12.8;  -814
06/10/2023 05:15:00;   150;;; 114.2;/////;1008.9; 24.9;12.9;  -814
06/10/2023 05:30:00;   150;;; 114.2;/////;1008.9; 24.9;12.9;  -814
06/10/2023 05:45:00;   150;;; 114.2;/////;1008.9; 24.9;12.9;  -814
06/10/2023 06:00:00;   150;;; 114.2;/////;1008.9; 24.9;12.9;  -814
06/10/2023 06:15:00;   150;;; 114.2;/////;1009.8; 24.8;13.6;  -814
06/10/2023 06:30:00;   150;;; 114.2;/////;1009.8; 24.8;13.6;  -814
06/10/2023 06:45:00;   150;;; 114.2;/////;1009.8; 24.8;13.6;  -814
06/10/2023 07:00:00;   150;;; 114.2;/////;1009.8; 24.8;13.6;  -814
06/10/2023 07:15:00;   150;;; 114.2;/////;1010.3; 25.2;14.2;  -814
06/10/2023 07:30:00;   150;;; 114.2;/////;1010.3; 25.2;14.2;  -814
06/10/2023 07:45:00;   150;;; 114.2;/////;1010.3; 25.2;14.2;  -814
06/10/2023 08:00:00;   150;;; 114.2;/////;1010.3; 25.2;14.2;  -814
06/10/2023 08:15:00;   150;;; 114.2;/////;1010.4; 26.3;14.2;  -814
06/10/2023 08:30:00;   150;;; 114.2;/////;1010.4; 26.3;14.2;  -814
06/10/2023 08:45:00;   150;;; 114.2;/////;1010.4; 26.3;14.2;  -814
06/10/2023 09:00:00;   150;;; 114.2;/////;1010.4; 26.3;14.2;  -814
06/10/2023 09:15:00;   150;;; 114.2;/////;1010.4; 28.0;14.2;  -814
06/10/2023 09:30:00;   150;;; 114.2;/////;1010.4; 28.0;14.2;  -814
06/10/2023 09:45:00;   150;;; 114.2;/////;1010.4; 28.0;14.2;  -814
06/10/2023 10:00:00;   150;;; 114.2;/////;1010.4; 28.0;14.2;  -814
06/10/2023 10:15:00;   151;;; 114.2;/////;1010.0; 29.6;14.1;  -814
06/10/2023 10:30:00;   151;;; 114.2;/////;1010.0; 29.6;14.1;  -814
06/10/2023 10:45:00;   150;;; 114.2;/////;1010.0; 29.6;14.1;  -814
06/10/2023 11:00:00;   150;;; 114.2;/////;1010.0; 29.6;14.1;  -814
06/10/2023 11:15:00;   149;;; 114.2;/////;1008.9; 31.1;14.1;  -814
06/10/2023 11:30:00;   150;;; 114.2;/////;1008.9; 31.1;14.1;  -814
06/10/2023 11:45:00;   150;;; 114.2;/////;1008.9; 31.1;14.1;  -814
06/10/2023 12:00:00;   150;;; 114.2;/////;1008.9; 31.1;14.1;  -814
06/10/2023 12:15:00;   150;;; 114.2;/////;1008.3; 32.3;14.0;  -814
06/10/2023 12:30:00;   150;;; 114.2;/////;1008.3; 32.3;14.0;  -814
06/10/2023 12:45:00;   150;;; 114.2;/////;1008.3; 32.3;14.0;  -814
06/10/2023 13:00:00;   150;;; 114.2;/////;1008.3; 32.3;14.0;  -814
