Data Hora;Nivel_Sensor(cm);Nivel_Display(cm);Chuva(mm);Chuva_Acum_Datalogger(mm);Temp_H2O;Press_Atm(mb);Temp_Int(C);Bateria(V);OffSet(cm)
16/10/2023 06:00:00;//////;-99999;;//////;/////;1007.6; 24.3;12.7;     0
16/10/2023 05:45:00;//////;-99999;;//////;/////;1007.6; 24.3;12.7;     0
16/10/2023 05:30:00;//////;-99999;;//////;/////;1007.6; 24.3;12.7;     0
16/10/2023 05:15:00;//////;-99999;;//////;/////;1007.6; 24.3;12.7;     0
16/10/2023 05:00:00;//////;-99999;;//////;/////;1007.3; 24.3;12.7;     0
16/10/2023 04:45:00;//////;-99999;;//////;/////;1007.3; 24.3;12.7;     0
16/10/2023 04:30:00;//////;-99999;;//////;/////;1007.3; 24.3;12.7;     0
16/10/2023 04:15:00;//////;-99999;;//////;/////;1007.3; 24.3;12.7;     0
16/10/2023 04:00:00;//////;-99999;;//////;/////;1006.9; 24.5;12.7;     0
16/10/2023 03:45:00;//////;-99999;;//////;/////;1006.9; 24.5;12.7;     0
16/10/2023 03:30:00;//////;-99999;;//////;/////;1006.9; 24.5;12.7;     0
16/10/2023 03:15:00;//////;-99999;;//////;/////;1006.9; 24.5;12.7;     0
16/10/2023 03:00:00;//////;-99999;;//////;/////;1007.2; 24.7;12.8;     0
16/10/2023 02:45:00;//////;-99999;;//////;/////;1007.2; 24.7;12.8;     0
16/10/2023 02:30:00;//////;-99999;;//////;/////;1007.2; 24.7;12.8;     0
16/10/2023 02:15:00;//////;-99999;;//////;/////;1007.2; 24.7;12.8;     0
16/10/2023 02:00:00;//////;-99999;;//////;/////;1007.7; 24.9;12.8;     0
16/10/2023 01:45:00;//////;-99999;;//////;/////;1007.7; 24.9;12.8;     0
16/10/2023 01:30:00;//////;-99999;;//////;/////;1007.7; 24.9;12.8;     0
16/10/2023 01:15:00;//////;-99999;;//////;/////;1007.7; 24.9;12.8;     0
16/10/2023 01:00:00;//////;-99999;;//////;/////;1008.1; 25.2;12.8;     0
16/10/2023 00:45:00;//////;-99999;;//////;/////;1008.1; 25.2;12.8;     0
16/10/2023 00:30:00;//////;-99999;;//////;/////;1008.1; 25.2;12.8;     0
16/10/2023 00:15:00;//////;-99999;;//////;/////;1008.1; 25.2;12.8;     0
16/10/2023 00:00:00;//////;-99999;;//////;/////;1008.5; 25.4;12.8;     0
15/10/2023 23:45:00;//////;-99999;;//////;/////;1008.5; 25.4;12.8;     0
15/10/2023 23:30:00;//////;-99999;;//////;/////;1008.5; 25.4;12.8;     0
15/10/2023 23:15:00;//////;-99999;;//////;/////;1008.5; 25.4;12.8;     0
14/10/2023 23:00:00;//////;-99999;;//////;/////;1007.6; 26.0;12.8;     0
14/10/2023 22:45:00;//////;-99999;;//////;/////;1007.6; 26.0;12.8;     0
14/10/2023 22:30:00;//////;-99999;;//////;/////;1007.6; 26.0;12.8;     0
14/10/2023 22:15:00;//////;-99999;;//////;/////;1007.6; 26.0;12.8;     0
14/10/2023 22:00:00;//////;-99999;;//////;/////;1008.0; 26.4;12.8;     0
14/10/2023 21:45:00;//////;-99999;;//////;/////;1008.0; 26.4;12.8;     0
14/10/2023 21:30:00;//////;-99999;;//////;/////;1008.0; 26.4;12.8;     0
14/10/2023 21:15:00;//////;-99999;;//////;/////;1008.0; 26.4;12.8;     0
14/10/2023 21:00:00;//////;-99999;;//////;/////;1007.4; 27.1;12.8;     0
14/10/2023 20:45:00;//////;-99999;;//////;/////;1007.4; 27.1;12.8;     0
14/10/2023 20:30:00;//////;-99999;;//////;/////;1007.4; 27.1;12.8;     0
14/10/2023 20:15:00;//////;-99999;;//////;/////;1007.4; 27.1;12.8;     0
15/10/2023 20:00:00;//////;-99999;;//////;/////;1007.0; 26.4;12.8;     0
15/10/2023 19:45:00;//////;-99999;;//////;/////;1007.0; 26.4;12.8;     0
15/10/2023 19:30:00;//////;-99999;;//////;/////;1007.0; 26.4;12.8;     0
15/10/2023 19:15:00;//////;-99999;;//////;/////;1007.0; 26.4;12.8;     0
15/10/2023 19:00:00;//////;-99999;;//////;/////;1006.3; 26.9;12.9;     0
15/10/2023 18:45:00;//////;-99999;;//////;/////;1006.3; 26.9;12.9;     0
15/10/2023 18:30:00;//////;-99999;;//////;/////;1006.3; 26.9;12.9;     0
15/10/2023 18:15:00;//////;-99999;;//////;/////;1006.3; 26.9;12.9;     0
15/10/2023 18:00:00;//////;   442;;//////;/////;1006.1; 27.4;13.0;     0
15/10/2023 17:45:00;//////;   442;;//////;/////;1006.1; 27.4;13.0;     0
15/10/2023 17:30:00;//////;   442;;//////;/////;1006.1; 27.4;13.0;     0
15/10/2023 17:15:00;//////;   442;;//////;/////;1006.1; 27.4;13.0;     0
15/10/2023 17:00:00;//////;-99999;;//////;/////;1005.9; 28.1;13.3;     0
15/10/2023 16:45:00;//////;-99999;;//////;/////;1005.9; 28.1;13.3;     0
15/10/2023 16:30:00;//////;-99999;;//////;/////;1005.9; 28.1;13.3;     0
15/10/2023 16:15:00;//////;-99999;;//////;/////;1005.9; 28.1;13.3;     0
15/10/2023 16:00:00;//////;-99999;;//////;/////;1005.5; 28.4;13.2;     0
15/10/2023 15:45:00;//////;-99999;;//////;/////;1005.5; 28.4;13.2;     0
15/10/2023 15:30:00;//////;-99999;;//////;/////;1005.5; 28.4;13.2;     0
15/10/2023 15:15:00;//////;-99999;;//////;/////;1005.5; 28.4;13.2;     0
15/10/2023 15:00:00;//////;-99999;;//////;/////;1006.0; 30.6;13.2;     0
15/10/2023 14:45:00;//////;-99999;;//////;/////;1006.0; 30.6;13.2;     0
15/10/2023 14:30:00;//////;-99999;;//////;/////;1006.0; 30.6;13.2;     0
15/10/2023 14:15:00;//////;-99999;;//////;/////;1006.0; 30.6;13.2;     0
15/10/2023 14:00:00;//////;-99999;;//////;/////;1006.9; 31.9;13.2;     0
15/10/2023 13:45:00;//////;-99999;;//////;/////;1006.9; 31.9;13.2;     0
15/10/2023 13:30:00;//////;-99999;;//////;/////;1006.9; 31.9;13.2;     0
15/10/2023 13:15:00;//////;-99999;;//////;/////;1006.9; 31.9;13.2;     0
15/10/2023 13:00:00;//////;-99999;;//////;/////;1008.5; 35.1;13.2;     0
15/10/2023 12:45:00;//////;-99999;;//////;/////;1008.5; 35.1;13.2;     0
15/10/2023 12:30:00;//////;-99999;;//////;/////;1008.5; 35.1;13.2;     0
15/10/2023 12:15:00;//////;-99999;;//////;/////;1008.5; 35.1;13.2;     0
15/10/2023 12:00:00;//////;-99999;;//////;/////;1009.7; 34.2;13.6;     0
15/10/2023 11:45:00;//////;-99999;;//////;/////;1009.7; 34.2;13.6;     0
15/10/2023 11:30:00;//////;-99999;;//////;/////;1009.7; 34.2;13.6;     0
15/10/2023 11:15:00;//////;-99999;;//////;/////;1009.7; 34.2;13.6;     0
15/10/2023 11:00:00;//////;-99999;;//////;/////;1010.0; 31.8;13.7;     0
15/10/2023 10:45:00;//////;-99999;;//////;/////;1010.0; 31.8;13.7;     0
15/10/2023 10:30:00;//////;-99999;;//////;/////;1010.0; 31.8;13.7;     0
15/10/2023 10:15:00;//////;-99999;;//////;/////;1010.0; 31.8;13.7;     0
15/10/2023 10:00:00;//////;-99999;;//////;/////;1010.0; 27.6;13.6;     0
15/10/2023 09:45:00;//////;-99999;;//////;/////;1010.0; 27.6;13.6;     0
15/10/2023 09:30:00;//////;-99999;;//////;/////;1010.0; 27.6;13.6;     0
15/10/2023 09:15:00;//////;-99999;;//////;/////;1010.0; 27.6;13.6;     0
15/10/2023 09:00:00;//////;   442;;//////;/////;1009.7; 25.4;13.3;     0
15/10/2023 08:45:00;//////;   442;;//////;/////;1009.7; 25.4;13.3;     0
15/10/2023 08:30:00;//////;   442;;//////;/////;1009.7; 25.4;13.3;     0
15/10/2023 08:15:00;//////;   442;;//////;/////;1009.7; 25.4;13.3;     0
15/10/2023 08:00:00;//////;-99999;;//////;/////;1009.3; 23.9;12.9;     0
15/10/2023 07:45:00;//////;-99999;;//////;/////;1009.3; 23.9;12.9;     0
15/10/2023 07:30:00;//////;-99999;;//////;/////;1009.3; 23.9;12.9;     0
15/10/2023 07:15:00;//////;-99999;;//////;/////;1009.3; 23.9;12.9;     0
15/10/2023 07:00:00;//////;-99999;;//////;/////;1008.2; 23.7;12.7;     0
15/10/2023 06:45:00;//////;-99999;;//////;/////;1008.2; 23.7;12.7;     0
15/10/2023 06:30:00;//////;-99999;;//////;/////;1008.2; 23.7;12.7;     0
15/10/2023 06:15:00;//////;-99999;;//////;/////;1008.2; 23.7;12.7;     0
