Data-Hora;Chuva (mm);Nível (cm);Vazão (m3/s);;;
21/10/2023 17:59;;349,25;208,92;;;
21/10/2023 18:59;;349,25;208,92;;;
21/10/2023 19:59;;349,875;209,65;;;
21/10/2023 20:59;;349,875;209,65;;;
21/10/2023 21:59;;350,5;210,37;;;
21/10/2023 22:59;;350,5;210,37;;;
21/10/2023 23:59;;351,125;211,1;;;
22/10/2023 00:59;;350,5;210,37;;;
22/10/2023 01:59;;351.125;211,1;;;
22/10/2023 02:59;;351.125;211,1;;;
22/10/2023 03:59;;351.125;211,1;;;
22/10/2023 04:59;;351,75;211,83;;;
22/10/2023 05:59;;351,75;211,83;;;
22/10/2023 06:59;;351,75;211,83;;;
22/10/2023 07:59;;353;213,29;;;
22/10/2023 08:59;;353.625;214,02;;;
22/10/2023 09:59;;353;213,29;;;
22/10/2023 10:59;;353;213,29;;;
22/10/2023 11:59;;353.625;214,02;;;
22/10/2023 12:59;;353.625;214,02;;;
22/10/2023 13:59;;353;213,29;;;
22/10/2023 14:59;;353;213,29;;;
22/10/2023 15:59;;353.625;214,02;;;
22/10/2023 16:59;;353;213,29;;;
22/10/2023 17:59;;354,25;214,75;;;
22/10/2023 18:59;;354,875;215,49;;;
22/10/2023 19:59;;353,625;214,02;;;
22/10/2023 20:59;;353,625;214,02;;;
22/10/2023 21:59;;354,25;214,75;;;
22/10/2023 22:59;;354,25;214,75;;;
22/10/2023 23:59;;354,25;214,75;;;
23/10/2023 00:59;;354,25;214,75;;;
23/10/2023 01:59;;353,625;214,02;;;
23/10/2023 02:59;;354,25;214,75;;;
23/10/2023 03:59;;354,25;214,75;;;
23/10/2023 04:59;;354,25;214,75;;;
23/10/2023 05:59;;354,25;214,75;;;
23/10/2023 06:59;;354,875;215,49;;;
23/10/2023 07:59;;354,25;214,75;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
