Data Hora;Nivel_Sensor(cm);Nivel_Display(cm);Chuva(mm);Chuva_Acum_Datalogger(mm);Temp_H2O;Press_Atm(mb);Temp_Int(C);Bateria(V);OffSet(cm)
15318000;05-09/2023 14:45:00;2311.00;;;;;;;;
15318000;05-09/2023 15:00:00;2304.00;;;;;;;;
15318000;05-09/2023 15:15:00;2282.00;;;;;;;;
15318000;05-09/2023 15:30:00;2275.00;;;;;;;;
15318000;05-09/2023 15:45:00;2310.00;;;;;;;;
15318000;05-09/2023 16:00:00;2320.00;;;;;;;;
15318000;05-09/2023 16:15:00;2319.00;;;;;;;;
15318000;05-09/2023 16:30:00;2320.00;;;;;;;;
15318000;05-09/2023 16:45:00;2315.00;;;;;;;;
15318000;05-09/2023 17:00:00;2318.00;;;;;;;;
15318000;05-09/2023 17:15:00;2317.00;;;;;;;;
15318000;05-09/2023 17:30:00;2317.00;;;;;;;;
15318000;05-09/2023 17:45:00;2315.00;;;;;;;;
15318000;05-09/2023 18:15:00;2317.00;;;;;;;;
15318000;05-09/2023 18:30:00;2315.00;;;;;;;;
15318000;05-09/2023 18:45:00;2314.00;;;;;;;;
15318000;05-09/2023 19:00:00;2316.00;;;;;;;;
15318000;05-09/2023 19:15:00;2317.00;;;;;;;;
15318000;05-09/2023 19:30:00;2318.00;;;;;;;;
15318000;05-09/2023 19:45:00;2316.00;;;;;;;;
15318000;05-09/2023 20:00:00;2316.00;;;;;;;;
15318000;05-09/2023 20:15:00;2316.00;;;;;;;;
15318000;05-09/2023 20:30:00;2317.00;;;;;;;;
15318000;05-09/2023 20:45:00;2317.00;;;;;;;;
15318000;05-09/2023 21:00:00;2315.00;;;;;;;;
15318000;05-09/2023 21:15:00;2317.00;;;;;;;;
15318000;05-09/2023 21:30:00;2317.00;;;;;;;;
15318000;05-09/2023 21:45:00;2311.00;;;;;;;;
15318000;05-09/2023 22:00:00;2318.00;;;;;;;;
15318000;05-09/2023 22:15:00;2288.00;;;;;;;;
15318000;05-09/2023 22:30:00;2287.00;;;;;;;;
15318000;05-09/2023 22:45:00;2319.00;;;;;;;;
15318000;05-09/2023 23:00:00;2318.00;;;;;;;;
15318000;05-09/2023 23:15:00;2319.00;;;;;;;;
15318000;05-09/2023 23:30:00;2318.00;;;;;;;;
15318000;05-09/2023 23:45:00;2276.00;;;;;;;;
15318000;06-09/2023 00:00:00;2281.00;;;;;;;;
15318000;06-09/2023 00:15:00;2281.00;;;;;;;;
15318000;06-09/2023 00:30:00;2316.00;;;;;;;;
15318000;06-09/2023 00:45:00;2295.00;;;;;;;;
15318000;06-09/2023 01:00:00;2316.00;;;;;;;;
15318000;06-09/2023 01:15:00;2313.00;;;;;;;;
15318000;06-09/2023 01:30:00;2316.00;;;;;;;;
15318000;06-09/2023 01:45:00;2316.00;;;;;;;;
15318000;06-09/2023 02:00:00;2316.00;;;;;;;;
15318000;06-09/2023 02:15:00;2317.00;;;;;;;;
15318000;06-09/2023 02:30:00;2316.00;;;;;;;;
15318000;06-09/2023 02:45:00;2316.00;;;;;;;;
15318000;06-09/2023 03:00:00;2316.00;;;;;;;;
