Data-Hora;Nivel_Sensor(cm);Nivel_Display(cm);Chuva(mm);Chuva_Acum_Datalogger(mm);Temp_H2O;Press_Atm(mb);Temp_Int(C);Bateria(V);OffSet(cm);vazao(m3_s)
01/05/2023 00:00:00;225.00;;0.00;;;;;;;2.37
01/05/2023 01:00:00;224.00;;0.00;;;;;;;2.30
01/05/2023 02:00:00;224.00;;0.00;;;;;;;2.30
01/05/2023 03:00:00;223.00;;0.00;;;;;;;2.22
01/05/2023 04:00:00;223.00;;0.00;;;;;;;2.22
01/05/2023 05:00:00;223.00;;0.00;;;;;;;2.22
01/05/2023 06:00:00;223.00;;0.00;;;;;;;2.22
01/05/2023 07:00:00;222.00;;0.00;;;;;;;2.15
01/05/2023 08:00:00;222.00;;0.00;;;;;;;2.15
01/05/2023 09:00:00;222.00;;0.00;;;;;;;2.15
01/05/2023 10:00:00;222.00;;0.00;;;;;;;2.15
01/05/2023 11:00:00;222.00;;0.00;;;;;;;2.15
01/05/2023 12:00:00;222.00;;0.00;;;;;;;2.15
01/05/2023 13:00:00;221.00;;0.00;;;;;;;2.08
01/05/2023 14:00:00;223.00;;0.00;;;;;;;2.22
01/05/2023 15:00:00;223.00;;0.00;;;;;;;2.22
01/05/2023 16:00:00;223.00;;0.00;;;;;;;2.22
01/05/2023 17:00:00;223.00;;0.00;;;;;;;2.22
01/05/2023 18:00:00;223.00;;0.00;;;;;;;2.22
01/05/2023 19:00:00;223.00;;0.00;;;;;;;2.22
01/05/2023 20:00:00;223.00;;0.00;;;;;;;2.22
01/05/2023 21:00:00;223.00;;0.00;;;;;;;2.22
01/05/2023 22:00:00;223.00;;0.00;;;;;;;2.22
01/05/2023 23:00:00;223.00;;0.00;;;;;;;2.22
02/05/2023 00:00:00;224.00;;0.00;;;;;;;2.30
02/05/2023 01:00:00;224.00;;0.00;;;;;;;2.30
02/05/2023 02:00:00;227.00;;0.00;;;;;;;2.52
02/05/2023 03:00:00;228.00;;0.00;;;;;;;2.59
02/05/2023 04:00:00;229.00;;0.00;;;;;;;2.67
02/05/2023 05:00:00;231.00;;0.00;;;;;;;2.82
02/05/2023 06:00:00;232.00;;0.00;;;;;;;2.90
02/05/2023 07:00:00;233.00;;0.00;;;;;;;2.98
02/05/2023 08:00:00;234.00;;0.00;;;;;;;3.06
02/05/2023 09:00:00;234.00;;0.00;;;;;;;3.06
02/05/2023 10:00:00;234.00;;0.00;;;;;;;3.06
02/05/2023 11:00:00;234.00;;0.00;;;;;;;3.06
02/05/2023 12:00:00;233.00;;0.00;;;;;;;2.98
02/05/2023 13:00:00;233.00;;0.00;;;;;;;2.98
02/05/2023 14:00:00;233.00;;0.00;;;;;;;2.98
02/05/2023 15:00:00;232.00;;0.00;;;;;;;2.90
02/05/2023 16:00:00;232.00;;0.00;;;;;;;2.90
02/05/2023 17:00:00;232.00;;0.00;;;;;;;2.90
02/05/2023 18:00:00;231.00;;0.00;;;;;;;2.82
02/05/2023 19:00:00;232.00;;0.00;;;;;;;2.90
02/05/2023 20:00:00;232.00;;0.00;;;;;;;2.90
02/05/2023 21:00:00;232.00;;0.00;;;;;;;2.90
02/05/2023 22:00:00;232.00;;0.00;;;;;;;2.90
02/05/2023 23:00:00;231.00;;0.00;;;;;;;2.82
03/05/2023 00:00:00;231.00;;0.00;;;;;;;2.82
03/05/2023 01:00:00;230.00;;0.00;;;;;;;2.75
03/05/2023 02:00:00;229.00;;0.00;;;;;;;2.67
03/05/2023 03:00:00;229.00;;0.00;;;;;;;2.67
03/05/2023 04:00:00;228.00;;0.00;;;;;;;2.59
03/05/2023 05:00:00;228.00;;0.00;;;;;;;2.59
03/05/2023 06:00:00;228.00;;0.00;;;;;;;2.59
03/05/2023 07:00:00;227.00;;0.00;;;;;;;2.52
03/05/2023 08:00:00;227.00;;0.00;;;;;;;2.52
03/05/2023 09:00:00;227.00;;0.00;;;;;;;2.52
03/05/2023 10:00:00;226.00;;0.00;;;;;;;2.44
03/05/2023 11:00:00;226.00;;0.00;;;;;;;2.44
03/05/2023 12:00:00;226.00;;0.00;;;;;;;2.44
03/05/2023 13:00:00;225.00;;0.00;;;;;;;2.37
03/05/2023 14:00:00;224.00;;0.00;;;;;;;2.30
03/05/2023 15:00:00;224.00;;0.00;;;;;;;2.30
03/05/2023 16:00:00;223.00;;0.00;;;;;;;2.22
03/05/2023 17:00:00;223.00;;0.00;;;;;;;2.22
03/05/2023 18:00:00;223.00;;0.00;;;;;;;2.22
03/05/2023 19:00:00;222.00;;0.00;;;;;;;2.15
03/05/2023 20:00:00;222.00;;0.00;;;;;;;2.15
03/05/2023 21:00:00;222.00;;0.00;;;;;;;2.15
03/05/2023 22:00:00;221.00;;0.00;;;;;;;2.08
03/05/2023 23:00:00;221.00;;0.00;;;;;;;2.08
04/05/2023 00:00:00;221.00;;0.00;;;;;;;2.08
04/05/2023 01:00:00;221.00;;0.00;;;;;;;2.08
04/05/2023 02:00:00;223.00;;0.00;;;;;;;2.22
04/05/2023 03:00:00;226.00;;0.00;;;;;;;2.44
04/05/2023 04:00:00;227.00;;0.00;;;;;;;2.52
04/05/2023 05:00:00;229.00;;0.00;;;;;;;2.67
04/05/2023 06:00:00;232.00;;0.00;;;;;;;2.90
04/05/2023 07:00:00;237.00;;0.00;;;;;;;3.31
04/05/2023 08:00:00;241.00;;0.00;;;;;;;3.64
04/05/2023 09:00:00;244.00;;0.00;;;;;;;3.90
04/05/2023 10:00:00;246.00;;0.00;;;;;;;4.08
04/05/2023 11:00:00;250.00;;0.00;;;;;;;4.44
04/05/2023 12:00:00;254.00;;0.00;;;;;;;4.81
04/05/2023 13:00:00;257.00;;0.00;;;;;;;5.10
04/05/2023 14:00:00;259.00;;0.00;;;;;;;5.30
04/05/2023 15:00:00;260.00;;0.00;;;;;;;5.39
04/05/2023 16:00:00;260.00;;0.00;;;;;;;5.39
04/05/2023 17:00:00;259.00;;0.00;;;;;;;5.30
04/05/2023 18:00:00;257.00;;0.00;;;;;;;5.10
04/05/2023 19:00:00;255.00;;0.00;;;;;;;4.91
04/05/2023 20:00:00;253.00;;0.00;;;;;;;4.72
04/05/2023 21:00:00;251.00;;0.00;;;;;;;4.53
04/05/2023 22:00:00;249.00;;0.00;;;;;;;4.35
04/05/2023 23:00:00;246.00;;0.00;;;;;;;4.08
05/05/2023 00:00:00;244.00;;0.00;;;;;;;3.90
05/05/2023 01:00:00;242.00;;0.00;;;;;;;3.73
05/05/2023 02:00:00;240.00;;0.00;;;;;;;3.56
05/05/2023 03:00:00;239.00;;0.00;;;;;;;3.47
05/05/2023 04:00:00;237.00;;0.00;;;;;;;3.31
05/05/2023 05:00:00;235.00;;0.00;;;;;;;3.14
05/05/2023 06:00:00;234.00;;0.00;;;;;;;3.06
05/05/2023 07:00:00;232.00;;0.00;;;;;;;2.90
05/05/2023 08:00:00;231.00;;0.00;;;;;;;2.82
05/05/2023 09:00:00;230.00;;0.00;;;;;;;2.75
05/05/2023 10:00:00;229.00;;0.00;;;;;;;2.67
05/05/2023 11:00:00;228.00;;0.00;;;;;;;2.59
05/05/2023 12:00:00;227.00;;0.00;;;;;;;2.52
05/05/2023 13:00:00;227.00;;0.00;;;;;;;2.52
05/05/2023 14:00:00;226.00;;0.00;;;;;;;2.44
05/05/2023 15:00:00;225.00;;0.00;;;;;;;2.37
05/05/2023 16:00:00;225.00;;0.00;;;;;;;2.37
05/05/2023 17:00:00;224.00;;0.00;;;;;;;2.30
05/05/2023 18:00:00;223.00;;0.00;;;;;;;2.22
05/05/2023 19:00:00;223.00;;0.00;;;;;;;2.22
05/05/2023 20:00:00;223.00;;0.00;;;;;;;2.22
05/05/2023 21:00:00;223.00;;0.00;;;;;;;2.22
05/05/2023 22:00:00;223.00;;0.00;;;;;;;2.22
05/05/2023 23:00:00;223.00;;0.00;;;;;;;2.22
06/05/2023 00:00:00;222.00;;0.00;;;;;;;2.15
06/05/2023 01:00:00;222.00;;0.00;;;;;;;2.15
06/05/2023 02:00:00;222.00;;0.00;;;;;;;2.15
06/05/2023 03:00:00;222.00;;0.00;;;;;;;2.15
06/05/2023 04:00:00;222.00;;0.00;;;;;;;2.15
06/05/2023 05:00:00;223.00;;0.00;;;;;;;2.22
06/05/2023 06:00:00;226.00;;0.00;;;;;;;2.44
06/05/2023 07:00:00;226.00;;0.00;;;;;;;2.44
06/05/2023 08:00:00;227.00;;0.00;;;;;;;2.52
06/05/2023 09:00:00;228.00;;0.00;;;;;;;2.59
06/05/2023 10:00:00;229.00;;0.00;;;;;;;2.67
06/05/2023 11:00:00;230.00;;0.00;;;;;;;2.75
06/05/2023 12:00:00;231.00;;0.00;;;;;;;2.82
06/05/2023 13:00:00;231.00;;0.00;;;;;;;2.82
06/05/2023 14:00:00;232.00;;0.00;;;;;;;2.90
06/05/2023 15:00:00;232.00;;0.00;;;;;;;2.90
06/05/2023 16:00:00;232.00;;0.00;;;;;;;2.90
06/05/2023 17:00:00;232.00;;0.00;;;;;;;2.90
06/05/2023 18:00:00;232.00;;0.00;;;;;;;2.90
06/05/2023 19:00:00;232.00;;0.00;;;;;;;2.90
06/05/2023 20:00:00;232.00;;0.00;;;;;;;2.90
06/05/2023 21:00:00;232.00;;0.00;;;;;;;2.90
06/05/2023 22:00:00;232.00;;0.00;;;;;;;2.90
06/05/2023 23:00:00;232.00;;0.00;;;;;;;2.90
07/05/2023 00:00:00;232.00;;0.00;;;;;;;2.90
07/05/2023 01:00:00;232.00;;0.00;;;;;;;2.90
07/05/2023 02:00:00;231.00;;0.00;;;;;;;2.82
07/05/2023 03:00:00;231.00;;0.00;;;;;;;2.82
07/05/2023 04:00:00;230.00;;0.00;;;;;;;2.75
07/05/2023 05:00:00;230.00;;0.00;;;;;;;2.75
07/05/2023 06:00:00;229.00;;0.00;;;;;;;2.67
07/05/2023 07:00:00;228.00;;0.00;;;;;;;2.59
07/05/2023 08:00:00;228.00;;0.00;;;;;;;2.59
07/05/2023 09:00:00;227.00;;0.00;;;;;;;2.52
07/05/2023 10:00:00;227.00;;0.00;;;;;;;2.52
07/05/2023 11:00:00;226.00;;0.00;;;;;;;2.44
07/05/2023 12:00:00;226.00;;0.00;;;;;;;2.44
07/05/2023 13:00:00;226.00;;0.00;;;;;;;2.44
07/05/2023 14:00:00;225.00;;0.00;;;;;;;2.37
07/05/2023 15:00:00;225.00;;0.00;;;;;;;2.37
07/05/2023 16:00:00;224.00;;0.00;;;;;;;2.30
07/05/2023 17:00:00;224.00;;0.00;;;;;;;2.30
07/05/2023 18:00:00;223.00;;0.00;;;;;;;2.22
07/05/2023 19:00:00;223.00;;0.00;;;;;;;2.22
07/05/2023 20:00:00;223.00;;0.00;;;;;;;2.22
07/05/2023 21:00:00;223.00;;0.00;;;;;;;2.22
07/05/2023 22:00:00;223.00;;0.00;;;;;;;2.22
07/05/2023 23:00:00;222.00;;0.00;;;;;;;2.15
08/05/2023 00:00:00;222.00;;0.00;;;;;;;2.15
08/05/2023 01:00:00;222.00;;0.00;;;;;;;2.15
08/05/2023 02:00:00;222.00;;0.00;;;;;;;2.15
08/05/2023 03:00:00;222.00;;0.00;;;;;;;2.15
08/05/2023 04:00:00;222.00;;0.00;;;;;;;2.15
08/05/2023 05:00:00;222.00;;0.00;;;;;;;2.15
08/05/2023 06:00:00;222.00;;0.00;;;;;;;2.15
08/05/2023 07:00:00;221.00;;0.00;;;;;;;2.08
08/05/2023 08:00:00;221.00;;0.00;;;;;;;2.08
08/05/2023 09:00:00;221.00;;0.00;;;;;;;2.08
08/05/2023 10:00:00;221.00;;0.00;;;;;;;2.08
08/05/2023 11:00:00;221.00;;0.00;;;;;;;2.08
08/05/2023 12:00:00;221.00;;0.00;;;;;;;2.08
08/05/2023 13:00:00;221.00;;0.00;;;;;;;2.08
08/05/2023 14:00:00;221.00;;0.00;;;;;;;2.08
08/05/2023 15:00:00;221.00;;0.00;;;;;;;2.08
08/05/2023 16:00:00;221.00;;0.00;;;;;;;2.08
08/05/2023 17:00:00;221.00;;0.00;;;;;;;2.08
08/05/2023 18:00:00;221.00;;0.00;;;;;;;2.08
08/05/2023 19:00:00;220.00;;0.00;;;;;;;2.01
08/05/2023 20:00:00;220.00;;0.00;;;;;;;2.01
08/05/2023 21:00:00;220.00;;0.00;;;;;;;2.01
08/05/2023 22:00:00;220.00;;0.00;;;;;;;2.01
08/05/2023 23:00:00;220.00;;0.00;;;;;;;2.01
09/05/2023 00:00:00;220.00;;0.00;;;;;;;2.01
09/05/2023 01:00:00;220.00;;0.00;;;;;;;2.01
09/05/2023 02:00:00;220.00;;0.00;;;;;;;2.01
09/05/2023 03:00:00;220.00;;0.00;;;;;;;2.01
09/05/2023 04:00:00;220.00;;0.00;;;;;;;2.01
09/05/2023 05:00:00;220.00;;0.00;;;;;;;2.01
09/05/2023 05:01:00;219.00;;0.00;;;;;;;1.94
09/05/2023 06:00:00;219.00;;0.00;;;;;;;1.94
09/05/2023 07:00:00;219.00;;0.00;;;;;;;1.94
09/05/2023 08:00:00;219.00;;0.00;;;;;;;1.94
09/05/2023 09:00:00;219.00;;0.00;;;;;;;1.94
09/05/2023 10:00:00;219.00;;0.00;;;;;;;1.94
09/05/2023 11:00:00;220.00;;0.00;;;;;;;2.01
09/05/2023 12:00:00;220.00;;0.00;;;;;;;2.01
09/05/2023 13:00:00;219.00;;0.00;;;;;;;1.94
09/05/2023 14:00:00;219.00;;0.00;;;;;;;1.94
09/05/2023 15:00:00;219.00;;0.00;;;;;;;1.94
09/05/2023 16:00:00;219.00;;0.00;;;;;;;1.94
09/05/2023 17:00:00;219.00;;0.00;;;;;;;1.94
09/05/2023 18:00:00;219.00;;0.00;;;;;;;1.94
09/05/2023 19:00:00;219.00;;0.00;;;;;;;1.94
09/05/2023 20:00:00;218.00;;0.00;;;;;;;1.88
09/05/2023 21:00:00;219.00;;0.00;;;;;;;1.94
09/05/2023 22:00:00;219.00;;0.00;;;;;;;1.94
09/05/2023 23:00:00;219.00;;0.00;;;;;;;1.94
10/05/2023 00:00:00;218.00;;0.00;;;;;;;1.88
10/05/2023 01:00:00;219.00;;0.00;;;;;;;1.94
10/05/2023 02:00:00;219.00;;0.00;;;;;;;1.94
10/05/2023 03:00:00;218.00;;0.00;;;;;;;1.88
10/05/2023 04:00:00;218.00;;0.00;;;;;;;1.88
10/05/2023 05:00:00;218.00;;0.00;;;;;;;1.88
10/05/2023 06:00:00;218.00;;0.00;;;;;;;1.88
10/05/2023 07:00:00;218.00;;0.00;;;;;;;1.88
10/05/2023 08:00:00;218.00;;0.00;;;;;;;1.88
10/05/2023 09:00:00;218.00;;0.00;;;;;;;1.88
10/05/2023 10:00:00;219.00;;0.00;;;;;;;1.94
10/05/2023 11:00:00;218.00;;0.00;;;;;;;1.88
10/05/2023 12:00:00;219.00;;0.00;;;;;;;1.94
10/05/2023 13:00:00;218.00;;0.00;;;;;;;1.88
10/05/2023 14:00:00;218.00;;0.00;;;;;;;1.88
10/05/2023 15:00:00;218.00;;0.00;;;;;;;1.88
10/05/2023 16:00:00;218.00;;0.00;;;;;;;1.88
10/05/2023 17:00:00;218.00;;0.00;;;;;;;1.88
