Data-Hora;Nivel_Sensor(cm);Nivel_Display(cm);Chuva(mm);Chuva_Acum_Datalogger(mm);Temp_H2O;Press_Atm(mb);Temp_Int(C);Bateria(V);OffSet(cm);vazao(m3_s)
01/05/2023 00:00:00;155.00;;0.00;;;;;;;1195.00
01/05/2023 01:00:00;156.00;;0.00;;;;;;;1207.00
01/05/2023 02:00:00;157.00;;0.00;;;;;;;1219.00
01/05/2023 03:00:00;157.00;;0.00;;;;;;;1219.00
01/05/2023 04:00:00;159.00;;0.20;;;;;;;1244.00
01/05/2023 05:00:00;159.00;;0.40;;;;;;;1244.00
01/05/2023 06:00:00;160.00;;2.20;;;;;;;1256.00
01/05/2023 07:00:00;161.00;;2.40;;;;;;;1269.00
01/05/2023 08:00:00;162.00;;3.80;;;;;;;1282.00
01/05/2023 09:00:00;163.00;;0.60;;;;;;;1294.00
01/05/2023 10:00:00;164.00;;0.80;;;;;;;1307.00
01/05/2023 11:00:00;165.00;;7.60;;;;;;;1320.00
01/05/2023 12:00:00;166.00;;2.60;;;;;;;1333.00
01/05/2023 13:00:00;167.00;;1.00;;;;;;;1346.00
01/05/2023 14:00:00;169.00;;0.20;;;;;;;1372.00
01/05/2023 15:00:00;170.00;;2.20;;;;;;;1386.00
01/05/2023 16:00:00;170.00;;2.80;;;;;;;1386.00
01/05/2023 17:00:00;172.00;;0.60;;;;;;;1412.00
01/05/2023 18:00:00;174.00;;1.40;;;;;;;1439.00
01/05/2023 19:00:00;175.00;;1.00;;;;;;;1453.00
01/05/2023 20:00:00;177.00;;0.40;;;;;;;1481.00
01/05/2023 21:00:00;178.00;;1.00;;;;;;;1495.00
01/05/2023 22:00:00;180.00;;0.00;;;;;;;1523.00
01/05/2023 23:00:00;180.00;;0.20;;;;;;;1523.00
02/05/2023 00:00:00;182.00;;0.00;;;;;;;1551.00
02/05/2023 01:00:00;182.00;;0.00;;;;;;;1551.00
02/05/2023 02:00:00;183.00;;0.00;;;;;;;1565.00
02/05/2023 03:00:00;184.00;;0.00;;;;;;;1580.00
02/05/2023 04:00:00;185.00;;0.00;;;;;;;1594.00
02/05/2023 05:00:00;185.00;;0.00;;;;;;;1594.00
02/05/2023 06:00:00;185.00;;0.00;;;;;;;1594.00
02/05/2023 07:00:00;185.00;;0.00;;;;;;;1594.00
02/05/2023 08:00:00;185.00;;0.00;;;;;;;1594.00
02/05/2023 09:00:00;185.00;;0.00;;;;;;;1594.00
02/05/2023 10:00:00;187.00;;0.00;;;;;;;1623.00
02/05/2023 11:00:00;186.00;;0.00;;;;;;;1609.00
02/05/2023 12:00:00;186.00;;0.00;;;;;;;1609.00
02/05/2023 13:00:00;187.00;;0.00;;;;;;;1623.00
02/05/2023 14:00:00;187.00;;0.00;;;;;;;1623.00
02/05/2023 15:00:00;187.00;;0.80;;;;;;;1623.00
02/05/2023 16:00:00;187.00;;3.00;;;;;;;1623.00
02/05/2023 17:00:00;188.00;;3.80;;;;;;;1638.00
02/05/2023 18:00:00;188.00;;4.80;;;;;;;1638.00
02/05/2023 20:00:00;188.00;;0.60;;;;;;;1638.00
02/05/2023 21:00:00;189.00;;0.80;;;;;;;1653.00
02/05/2023 22:00:00;189.00;;0.40;;;;;;;1653.00
02/05/2023 23:00:00;188.00;;0.60;;;;;;;1638.00
03/05/2023 00:00:00;188.00;;0.00;;;;;;;1638.00
03/05/2023 01:00:00;187.00;;0.00;;;;;;;1623.00
03/05/2023 02:00:00;189.00;;0.60;;;;;;;1653.00
03/05/2023 03:00:00;189.00;;0.00;;;;;;;1653.00
03/05/2023 04:00:00;188.00;;0.00;;;;;;;1638.00
03/05/2023 05:00:00;189.00;;0.00;;;;;;;1653.00
03/05/2023 06:00:00;189.00;;1.00;;;;;;;1653.00
03/05/2023 07:00:00;189.00;;2.80;;;;;;;1653.00
03/05/2023 08:00:00;188.00;;1.80;;;;;;;1638.00
03/05/2023 09:00:00;188.00;;2.60;;;;;;;1638.00
03/05/2023 10:00:00;187.00;;4.00;;;;;;;1623.00
03/05/2023 11:00:00;188.00;;4.60;;;;;;;1638.00
03/05/2023 12:00:00;187.00;;4.20;;;;;;;1623.00
03/05/2023 13:00:00;188.00;;2.20;;;;;;;1638.00
03/05/2023 14:00:00;188.00;;1.40;;;;;;;1638.00
03/05/2023 15:00:00;188.00;;0.80;;;;;;;1638.00
03/05/2023 16:00:00;188.00;;0.20;;;;;;;1638.00
03/05/2023 17:00:00;188.00;;0.00;;;;;;;1638.00
03/05/2023 18:00:00;189.00;;0.00;;;;;;;1653.00
03/05/2023 19:00:00;190.00;;0.00;;;;;;;1667.00
