Data-Hora;Nivel_Sensor(cm);Nivel_Display(cm);Chuva(mm);Chuva_Acum_Datalogger(mm);Temp_H2O;Press_Atm(mb);Temp_Int(C);Bateria(V);OffSet(cm);vazao(m3_s)
01/05/2023 00:00:00;395.00;;0.00;;;;;;;100.70
01/05/2023 00:30:00;392.00;;0.00;;;;;;;98.46
01/05/2023 01:00:00;391.00;;0.00;;;;;;;97.71
01/05/2023 01:30:00;392.00;;0.00;;;;;;;98.46
01/05/2023 02:00:00;390.00;;0.00;;;;;;;96.97
01/05/2023 02:30:00;390.00;;0.00;;;;;;;96.97
01/05/2023 03:00:00;390.00;;0.00;;;;;;;96.97
01/05/2023 03:30:00;389.00;;0.00;;;;;;;96.24
01/05/2023 04:00:00;389.00;;0.00;;;;;;;96.24
01/05/2023 04:30:00;389.00;;0.00;;;;;;;96.24
01/05/2023 05:00:00;389.00;;0.00;;;;;;;96.24
01/05/2023 05:30:00;390.00;;0.00;;;;;;;96.97
01/05/2023 06:00:00;389.00;;0.00;;;;;;;96.24
01/05/2023 06:30:00;389.00;;0.00;;;;;;;96.24
01/05/2023 07:00:00;389.00;;0.00;;;;;;;96.24
01/05/2023 07:30:00;389.00;;0.00;;;;;;;96.24
01/05/2023 08:00:00;389.00;;0.00;;;;;;;96.24
01/05/2023 08:30:00;391.00;;0.00;;;;;;;97.71
01/05/2023 09:00:00;388.00;;0.00;;;;;;;95.50
01/05/2023 09:30:00;388.00;;0.00;;;;;;;95.50
01/05/2023 10:00:00;390.00;;0.00;;;;;;;96.97
01/05/2023 10:30:00;389.00;;0.00;;;;;;;96.24
01/05/2023 11:00:00;387.00;;0.00;;;;;;;94.77
01/05/2023 11:30:00;389.00;;0.00;;;;;;;96.24
01/05/2023 12:00:00;389.00;;0.00;;;;;;;96.24
01/05/2023 12:30:00;387.00;;0.00;;;;;;;94.77
01/05/2023 13:00:00;389.00;;0.00;;;;;;;96.24
01/05/2023 13:30:00;389.00;;0.00;;;;;;;96.24
01/05/2023 14:00:00;387.00;;0.00;;;;;;;94.77
01/05/2023 14:30:00;388.00;;0.00;;;;;;;95.50
01/05/2023 15:00:00;388.00;;0.00;;;;;;;95.50
01/05/2023 15:30:00;387.00;;0.00;;;;;;;94.77
01/05/2023 16:00:00;388.00;;0.00;;;;;;;95.50
01/05/2023 16:30:00;388.00;;0.00;;;;;;;95.50
01/05/2023 17:00:00;387.00;;0.00;;;;;;;94.77
01/05/2023 17:30:00;388.00;;0.00;;;;;;;95.50
01/05/2023 18:00:00;388.00;;0.00;;;;;;;95.50
01/05/2023 18:30:00;388.00;;0.00;;;;;;;95.50
01/05/2023 19:00:00;388.00;;0.00;;;;;;;95.50
01/05/2023 19:30:00;388.00;;0.00;;;;;;;95.50
01/05/2023 20:00:00;387.00;;0.00;;;;;;;94.77
01/05/2023 20:30:00;388.00;;0.00;;;;;;;95.50
01/05/2023 21:00:00;388.00;;0.00;;;;;;;95.50
01/05/2023 21:30:00;387.00;;0.00;;;;;;;94.77
01/05/2023 22:00:00;387.00;;0.00;;;;;;;94.77
01/05/2023 22:30:00;388.00;;0.00;;;;;;;95.50
01/05/2023 23:00:00;387.00;;0.00;;;;;;;94.77
01/05/2023 23:30:00;388.00;;0.00;;;;;;;95.50
02/05/2023 00:00:00;387.00;;0.00;;;;;;;94.77
02/05/2023 00:30:00;387.00;;0.00;;;;;;;94.77
02/05/2023 01:00:00;387.00;;0.00;;;;;;;94.77
02/05/2023 01:30:00;387.00;;0.00;;;;;;;94.77
02/05/2023 02:00:00;387.00;;0.00;;;;;;;94.77
02/05/2023 02:30:00;387.00;;0.00;;;;;;;94.77
02/05/2023 03:00:00;387.00;;0.00;;;;;;;94.77
02/05/2023 03:30:00;387.00;;0.00;;;;;;;94.77
02/05/2023 04:00:00;387.00;;0.00;;;;;;;94.77
02/05/2023 04:30:00;388.00;;0.00;;;;;;;95.50
02/05/2023 05:00:00;389.00;;0.00;;;;;;;96.24
02/05/2023 05:30:00;390.00;;0.00;;;;;;;96.97
02/05/2023 06:00:00;390.00;;0.00;;;;;;;96.97
02/05/2023 06:30:00;391.00;;0.00;;;;;;;97.71
02/05/2023 07:00:00;391.00;;0.00;;;;;;;97.71
02/05/2023 07:30:00;391.00;;0.00;;;;;;;97.71
02/05/2023 08:00:00;391.00;;0.00;;;;;;;97.71
02/05/2023 08:30:00;391.00;;0.00;;;;;;;97.71
02/05/2023 09:00:00;391.00;;0.00;;;;;;;97.71
02/05/2023 09:30:00;390.00;;0.00;;;;;;;96.97
02/05/2023 10:00:00;390.00;;0.00;;;;;;;96.97
02/05/2023 10:30:00;389.00;;0.00;;;;;;;96.24
02/05/2023 11:00:00;389.00;;0.00;;;;;;;96.24
02/05/2023 11:30:00;388.00;;0.00;;;;;;;95.50
02/05/2023 12:00:00;388.00;;0.00;;;;;;;95.50
02/05/2023 12:30:00;388.00;;0.00;;;;;;;95.50
02/05/2023 13:00:00;389.00;;0.00;;;;;;;96.24
02/05/2023 13:30:00;388.00;;0.00;;;;;;;95.50
02/05/2023 14:00:00;389.00;;0.00;;;;;;;96.24
02/05/2023 14:30:00;389.00;;0.00;;;;;;;96.24
02/05/2023 15:00:00;390.00;;0.00;;;;;;;96.97
02/05/2023 15:30:00;390.00;;0.00;;;;;;;96.97
02/05/2023 16:00:00;390.00;;0.00;;;;;;;96.97
02/05/2023 16:30:00;390.00;;0.00;;;;;;;96.97
02/05/2023 17:00:00;391.00;;0.00;;;;;;;97.71
02/05/2023 17:30:00;391.00;;0.00;;;;;;;97.71
02/05/2023 18:00:00;391.00;;0.00;;;;;;;97.71
02/05/2023 18:30:00;390.00;;0.00;;;;;;;96.97
02/05/2023 19:30:00;391.00;;0.00;;;;;;;97.71
02/05/2023 20:00:00;390.00;;0.00;;;;;;;96.97
02/05/2023 20:30:00;390.00;;0.00;;;;;;;96.97
02/05/2023 21:00:00;390.00;;0.00;;;;;;;96.97
02/05/2023 21:30:00;390.00;;0.00;;;;;;;96.97
02/05/2023 22:00:00;390.00;;0.00;;;;;;;96.97
02/05/2023 22:30:00;390.00;;0.00;;;;;;;96.97
02/05/2023 23:00:00;390.00;;0.00;;;;;;;96.97
02/05/2023 23:30:00;389.00;;0.00;;;;;;;96.24
03/05/2023 00:00:00;390.00;;0.00;;;;;;;96.97
03/05/2023 00:30:00;391.00;;0.00;;;;;;;97.71
03/05/2023 01:00:00;389.00;;0.00;;;;;;;96.24
03/05/2023 01:30:00;390.00;;0.00;;;;;;;96.97
03/05/2023 02:00:00;390.00;;0.00;;;;;;;96.97
03/05/2023 02:30:00;389.00;;0.00;;;;;;;96.24
03/05/2023 03:00:00;390.00;;0.00;;;;;;;96.97
03/05/2023 03:30:00;390.00;;0.00;;;;;;;96.97
03/05/2023 04:00:00;389.00;;0.00;;;;;;;96.24
03/05/2023 04:30:00;390.00;;0.00;;;;;;;96.97
03/05/2023 05:00:00;389.00;;0.00;;;;;;;96.24
03/05/2023 05:30:00;389.00;;0.00;;;;;;;96.24
03/05/2023 06:00:00;389.00;;0.00;;;;;;;96.24
03/05/2023 06:30:00;389.00;;0.00;;;;;;;96.24
03/05/2023 07:00:00;388.00;;0.00;;;;;;;95.50
03/05/2023 07:30:00;389.00;;0.00;;;;;;;96.24
03/05/2023 08:00:00;388.00;;0.00;;;;;;;95.50
03/05/2023 08:30:00;388.00;;0.00;;;;;;;95.50
03/05/2023 09:00:00;388.00;;0.00;;;;;;;95.50
03/05/2023 09:30:00;388.00;;0.00;;;;;;;95.50
03/05/2023 10:00:00;387.00;;0.00;;;;;;;94.77
03/05/2023 10:30:00;387.00;;0.00;;;;;;;94.77
03/05/2023 11:00:00;387.00;;0.00;;;;;;;94.77
03/05/2023 11:30:00;387.00;;0.00;;;;;;;94.77
03/05/2023 12:00:00;387.00;;0.00;;;;;;;94.77
03/05/2023 12:30:00;388.00;;0.00;;;;;;;95.50
03/05/2023 13:00:00;387.00;;0.00;;;;;;;94.77
03/05/2023 13:30:00;386.00;;0.00;;;;;;;94.03
03/05/2023 14:00:00;386.00;;0.00;;;;;;;94.03
03/05/2023 14:30:00;386.00;;0.00;;;;;;;94.03
03/05/2023 15:00:00;384.00;;0.00;;;;;;;92.58
03/05/2023 15:30:00;385.00;;0.00;;;;;;;93.30
03/05/2023 16:00:00;384.00;;0.00;;;;;;;92.58
03/05/2023 16:30:00;384.00;;0.00;;;;;;;92.58
03/05/2023 17:00:00;385.00;;0.00;;;;;;;93.30
03/05/2023 17:30:00;384.00;;0.00;;;;;;;92.58
03/05/2023 18:00:00;385.00;;0.00;;;;;;;93.30
03/05/2023 18:30:00;385.00;;0.00;;;;;;;93.30
03/05/2023 19:00:00;385.00;;0.00;;;;;;;93.30
03/05/2023 19:30:00;386.00;;0.00;;;;;;;94.03
03/05/2023 20:00:00;386.00;;0.00;;;;;;;94.03
03/05/2023 20:30:00;385.00;;0.00;;;;;;;93.30
03/05/2023 21:00:00;386.00;;0.00;;;;;;;94.03
03/05/2023 21:30:00;386.00;;0.00;;;;;;;94.03
03/05/2023 22:00:00;386.00;;0.00;;;;;;;94.03
03/05/2023 22:30:00;386.00;;0.00;;;;;;;94.03
03/05/2023 23:00:00;387.00;;0.00;;;;;;;94.77
03/05/2023 23:30:00;386.00;;0.00;;;;;;;94.03
04/05/2023 00:00:00;387.00;;0.00;;;;;;;94.77
04/05/2023 00:30:00;386.00;;0.00;;;;;;;94.03
04/05/2023 01:00:00;386.00;;0.00;;;;;;;94.03
04/05/2023 01:30:00;386.00;;0.00;;;;;;;94.03
04/05/2023 02:00:00;387.00;;0.00;;;;;;;94.77
04/05/2023 02:30:00;386.00;;0.00;;;;;;;94.03
04/05/2023 03:00:00;386.00;;0.00;;;;;;;94.03
04/05/2023 03:30:00;386.00;;0.00;;;;;;;94.03
04/05/2023 04:00:00;386.00;;0.00;;;;;;;94.03
04/05/2023 04:30:00;386.00;;0.00;;;;;;;94.03
04/05/2023 05:00:00;385.00;;0.00;;;;;;;93.30
04/05/2023 05:30:00;385.00;;0.00;;;;;;;93.30
04/05/2023 06:00:00;386.00;;0.00;;;;;;;94.03
04/05/2023 06:30:00;385.00;;0.00;;;;;;;93.30
04/05/2023 07:00:00;384.00;;0.00;;;;;;;92.58
04/05/2023 07:30:00;386.00;;0.00;;;;;;;94.03
04/05/2023 08:00:00;386.00;;0.00;;;;;;;94.03
04/05/2023 08:30:00;384.00;;0.00;;;;;;;92.58
04/05/2023 09:00:00;385.00;;0.00;;;;;;;93.30
04/05/2023 09:30:00;385.00;;0.00;;;;;;;93.30
04/05/2023 10:00:00;384.00;;0.00;;;;;;;92.58
04/05/2023 10:30:00;385.00;;0.00;;;;;;;93.30
04/05/2023 11:00:00;385.00;;0.00;;;;;;;93.30
04/05/2023 11:30:00;383.00;;0.00;;;;;;;91.85
04/05/2023 12:00:00;385.00;;0.00;;;;;;;93.30
04/05/2023 12:30:00;384.00;;0.00;;;;;;;92.58
04/05/2023 13:00:00;384.00;;0.00;;;;;;;92.58
04/05/2023 13:30:00;385.00;;0.00;;;;;;;93.30
04/05/2023 14:00:00;384.00;;0.00;;;;;;;92.58
