Data-Hora;Nivel_Sensor(cm);Nivel_Display(cm);Chuva(mm);Chuva_Acum_Datalogger(mm);Temp_H2O;Press_Atm(mb);Temp_Int(C);Bateria(V);OffSet(cm);vazao(m3_s)
01/10/2023 00:00:00;75.00;;0.00;;;;;;;
01/10/2023 00:30:00;75.00;;0.20;;;;;;;
01/10/2023 01:00:00;75.00;;0.00;;;;;;;
01/10/2023 01:30:00;75.00;;0.00;;;;;;;
01/10/2023 02:00:00;75.00;;0.00;;;;;;;
01/10/2023 02:30:00;75.00;;0.00;;;;;;;
01/10/2023 03:00:00;76.00;;0.00;;;;;;;
01/10/2023 03:30:00;76.00;;0.00;;;;;;;
01/10/2023 04:30:00;77.00;;4.80;;;;;;;
01/10/2023 05:00:00;78.00;;0.20;;;;;;;
01/10/2023 05:30:00;78.00;;0.00;;;;;;;
01/10/2023 06:00:00;79.00;;0.00;;;;;;;
01/10/2023 06:30:00;79.00;;0.00;;;;;;;
01/10/2023 07:00:00;80.00;;0.00;;;;;;;
01/10/2023 07:30:00;80.00;;0.00;;;;;;;
01/10/2023 08:00:00;80.00;;0.00;;;;;;;
01/10/2023 08:30:00;80.00;;0.00;;;;;;;
01/10/2023 09:00:00;80.00;;0.00;;;;;;;
01/10/2023 09:30:00;80.00;;0.00;;;;;;;
01/10/2023 10:00:00;80.00;;0.00;;;;;;;
01/10/2023 10:30:00;81.00;;0.00;;;;;;;
01/10/2023 11:00:00;80.00;;0.00;;;;;;;
01/10/2023 11:30:00;81.00;;0.00;;;;;;;
01/10/2023 12:00:00;81.00;;0.00;;;;;;;
01/10/2023 12:30:00;81.00;;2.20;;;;;;;
01/10/2023 13:00:00;81.00;;0.20;;;;;;;
01/10/2023 13:30:00;82.00;;0.00;;;;;;;
01/10/2023 14:00:00;81.00;;0.20;;;;;;;
01/10/2023 14:30:00;82.00;;0.80;;;;;;;
01/10/2023 15:00:00;82.00;;1.00;;;;;;;
01/10/2023 15:30:00;83.00;;0.20;;;;;;;
01/10/2023 16:00:00;84.00;;0.00;;;;;;;
01/10/2023 16:30:00;86.00;;0.20;;;;;;;
01/10/2023 17:00:00;87.00;;0.00;;;;;;;
01/10/2023 17:30:00;88.00;;0.00;;;;;;;
01/10/2023 18:00:00;88.00;;0.00;;;;;;;
01/10/2023 18:30:00;88.00;;0.00;;;;;;;
01/10/2023 19:00:00;89.00;;0.00;;;;;;;
01/10/2023 19:30:00;89.00;;0.20;;;;;;;
01/10/2023 20:00:00;91.00;;2.40;;;;;;;
01/10/2023 20:30:00;93.00;;0.40;;;;;;;
01/10/2023 21:00:00;94.00;;0.00;;;;;;;
01/10/2023 21:30:00;95.00;;0.00;;;;;;;
01/10/2023 22:00:00;96.00;;0.20;;;;;;;
01/10/2023 22:30:00;98.00;;0.00;;;;;;;
01/10/2023 23:00:00;98.00;;0.00;;;;;;;
01/10/2023 23:30:00;99.00;;0.00;;;;;;;
02/10/2023 00:00:00;99.00;;0.00;;;;;;;
02/10/2023 00:30:00;100.00;;0.00;;;;;;;
02/10/2023 01:00:00;100.00;;0.00;;;;;;;
02/10/2023 01:30:00;100.00;;0.00;;;;;;;
02/10/2023 02:00:00;101.00;;0.00;;;;;;;
02/10/2023 02:30:00;102.00;;0.00;;;;;;;
02/10/2023 03:00:00;102.00;;0.00;;;;;;;
02/10/2023 03:30:00;103.00;;0.00;;;;;;;
02/10/2023 04:00:00;103.00;;0.00;;;;;;;
02/10/2023 04:30:00;104.00;;0.00;;;;;;;
02/10/2023 05:00:00;104.00;;0.00;;;;;;;
02/10/2023 05:30:00;105.00;;0.00;;;;;;;
02/10/2023 06:00:00;105.00;;0.00;;;;;;;
02/10/2023 06:30:00;106.00;;0.00;;;;;;;
02/10/2023 07:00:00;106.00;;0.00;;;;;;;
02/10/2023 07:30:00;107.00;;0.00;;;;;;;
02/10/2023 08:00:00;107.00;;0.00;;;;;;;
02/10/2023 08:30:00;109.00;;0.00;;;;;;;
02/10/2023 09:00:00;111.00;;0.00;;;;;;;
02/10/2023 09:30:00;112.00;;0.00;;;;;;;
02/10/2023 10:00:00;114.00;;0.00;;;;;;;
02/10/2023 10:30:00;116.00;;0.00;;;;;;;
02/10/2023 11:00:00;120.00;;0.00;;;;;;;
02/10/2023 11:30:00;126.00;;0.00;;;;;;;
02/10/2023 12:00:00;129.00;;0.00;;;;;;;
02/10/2023 12:30:00;131.00;;0.00;;;;;;;
02/10/2023 13:00:00;131.00;;0.00;;;;;;;
02/10/2023 13:30:00;130.00;;0.00;;;;;;;
02/10/2023 14:00:00;129.00;;0.00;;;;;;;
02/10/2023 14:30:00;128.00;;0.00;;;;;;;
02/10/2023 15:00:00;127.00;;0.00;;;;;;;
02/10/2023 15:30:00;127.00;;0.00;;;;;;;
02/10/2023 16:00:00;125.00;;0.00;;;;;;;
02/10/2023 16:30:00;125.00;;0.00;;;;;;;
02/10/2023 17:00:00;124.00;;0.00;;;;;;;
02/10/2023 17:30:00;123.00;;0.00;;;;;;;
02/10/2023 18:00:00;123.00;;0.00;;;;;;;
02/10/2023 18:30:00;122.00;;0.00;;;;;;;
02/10/2023 19:00:00;122.00;;0.00;;;;;;;
02/10/2023 19:30:00;121.00;;0.00;;;;;;;
02/10/2023 20:00:00;121.00;;0.00;;;;;;;
02/10/2023 20:30:00;121.00;;0.00;;;;;;;
02/10/2023 21:00:00;121.00;;0.00;;;;;;;
02/10/2023 21:30:00;120.00;;0.00;;;;;;;
02/10/2023 22:00:00;120.00;;0.00;;;;;;;
02/10/2023 22:30:00;120.00;;0.00;;;;;;;
02/10/2023 23:00:00;120.00;;0.00;;;;;;;
02/10/2023 23:30:00;120.00;;0.00;;;;;;;
03/10/2023 00:00:00;120.00;;0.00;;;;;;;
03/10/2023 00:30:00;120.00;;0.00;;;;;;;
03/10/2023 01:00:00;119.00;;0.00;;;;;;;
03/10/2023 01:30:00;119.00;;0.00;;;;;;;
03/10/2023 02:00:00;119.00;;0.00;;;;;;;
03/10/2023 02:30:00;119.00;;0.00;;;;;;;
03/10/2023 03:00:00;119.00;;0.00;;;;;;;
03/10/2023 03:30:00;119.00;;0.00;;;;;;;
03/10/2023 04:00:00;119.00;;0.00;;;;;;;
03/10/2023 04:30:00;118.00;;0.00;;;;;;;
03/10/2023 05:00:00;118.00;;0.00;;;;;;;
03/10/2023 05:30:00;118.00;;0.00;;;;;;;
03/10/2023 06:00:00;118.00;;0.00;;;;;;;
03/10/2023 06:30:00;118.00;;0.00;;;;;;;
03/10/2023 07:00:00;117.00;;0.00;;;;;;;
03/10/2023 07:30:00;117.00;;0.00;;;;;;;
03/10/2023 08:00:00;117.00;;0.00;;;;;;;
03/10/2023 08:30:00;116.00;;0.00;;;;;;;
03/10/2023 09:00:00;116.00;;0.00;;;;;;;
03/10/2023 09:30:00;116.00;;0.00;;;;;;;
03/10/2023 10:00:00;115.00;;0.00;;;;;;;
03/10/2023 10:30:00;116.00;;0.00;;;;;;;
03/10/2023 11:00:00;115.00;;0.00;;;;;;;
03/10/2023 11:30:00;113.00;;0.00;;;;;;;
03/10/2023 12:00:00;113.00;;0.00;;;;;;;
03/10/2023 12:30:00;112.00;;0.00;;;;;;;
03/10/2023 13:00:00;111.00;;0.00;;;;;;;
03/10/2023 13:30:00;280.00;;0.00;;;;;;;
03/10/2023 14:00:00;280.00;;0.00;;;;;;;
03/10/2023 14:30:00;279.00;;0.00;;;;;;;2.79
03/10/2023 15:00:00;278.00;;0.00;;;;;;;2.73
03/10/2023 15:30:00;276.00;;0.00;;;;;;;2.60
03/10/2023 16:00:00;276.00;;0.00;;;;;;;2.60
03/10/2023 16:30:00;275.00;;0.00;;;;;;;2.54
03/10/2023 17:00:00;274.00;;0.00;;;;;;;2.48
03/10/2023 17:30:00;273.00;;0.00;;;;;;;2.42
03/10/2023 18:00:00;272.00;;0.00;;;;;;;2.36
03/10/2023 18:30:00;271.00;;0.00;;;;;;;2.30
03/10/2023 19:00:00;270.00;;0.00;;;;;;;2.24
03/10/2023 19:30:00;269.00;;0.00;;;;;;;2.18
03/10/2023 20:00:00;268.00;;0.00;;;;;;;2.12
03/10/2023 20:30:00;267.00;;0.00;;;;;;;2.07
03/10/2023 21:00:00;266.00;;0.00;;;;;;;2.01
03/10/2023 21:30:00;266.00;;0.00;;;;;;;2.01
03/10/2023 22:00:00;265.00;;0.00;;;;;;;1.96
