Data;Chuva (mm);Nivel (cm);Vazão (m³/s);;;;;0
06/01/2023 08:00;--;3164,625;--;;;;;
06/01/2023 09:00;--;3164,625;--;;;;;
06/01/2023 10:00;--;3164;--;;;;;
06/01/2023 11:00;--;3164;--;;;;;
06/01/2023 12:00;--;3163,375;--;;;;;
06/01/2023 13:00;--;3164;--;;;;;
06/01/2023 14:00;--;3163,375;--;;;;;
06/01/2023 15:00;--;3163,375;--;;;;;
06/01/2023 16:00;--;3163,375;--;;;;;
06/01/2023 17:00;--;3163,375;--;;;;;
06/01/2023 18:00;--;3164;--;;;;;
06/01/2023 19:00;--;3164;--;;;;;
06/01/2023 20:00;--;3164;--;;;;;
06/01/2023 21:00;--;3164;--;;;;;
06/01/2023 22:00;--;3164,625;--;;;;;
06/01/2023 23:00;--;3164,625;--;;;;;
07/01/2023 00:00;--;3164;--;;;;;
07/01/2023 01:00;--;3164;--;;;;;
07/01/2023 02:00;--;3164;--;;;;;
07/01/2023 03:00;--;3164;--;;;;;
07/01/2023 04:00;--;3164;--;;;;;
07/01/2023 05:00;--;3162,75;--;;;;;
07/01/2023 06:00;--;3164;--;;;;;
07/01/2023 07:00;--;3164;--;;;;;
07/01/2023 08:00;--;3164;--;;;;;
07/01/2023 09:00;--;3163,375;--;;;;;
07/01/2023 10:00;--;3163,375;--;;;;;
07/01/2023 11:00;--;3162,75;--;;;;;
07/01/2023 12:00;--;3162,125;--;;;;;
07/01/2023 13:00;--;3161,5;--;;;;;
07/01/2023 14:00;--;3161,5;--;;;;;
07/01/2023 15:00;--;3161,5;--;;;;;
07/01/2023 16:00;--;3160,875;--;;;;;
07/01/2023 17:00;--;3161,5;--;;;;;
07/01/2023 18:00;--;3161,5;--;;;;;
07/01/2023 19:00;--;3160,875;--;;;;;
07/01/2023 20:00;--;3162,125;--;;;;;
07/01/2023 21:00;--;3161,5;--;;;;;
07/01/2023 22:00;--;3161,5;--;;;;;
07/01/2023 23:00;--;3162,125;--;;;;;
08/01/2023 00:00;--;3161,5;--;;;;;
08/01/2023 01:00;--;3160,875;--;;;;;
08/01/2023 02:00;--;3160,875;--;;;;;
08/01/2023 03:00;--;3160,875;--;;;;;
08/01/2023 04:00;--;3160,25;--;;;;;
08/01/2023 05:00;--;3160,25;--;;;;;
08/01/2023 06:00;--;3160,25;--;;;;;
08/01/2023 07:00;--;3160,25;--;;;;;
08/01/2023 08:00;--;3159,625;--;;;;;
08/01/2023 09:00;--;3159,625;--;;;;;
08/01/2023 10:00;--;3159;--;;;;;
08/01/2023 11:00;--;3157,75;--;;;;;
08/01/2023 12:00;--;3158,375;--;;;;;
08/01/2023 13:00;--;3158,375;--;;;;;
08/01/2023 14:00;--;3159;--;;;;;
08/01/2023 15:00;--;3159;--;;;;;
08/01/2023 16:00;--;3159;--;;;;;
08/01/2023 17:00;--;3159;--;;;;;
08/01/2023 18:00;--;3159;--;;;;;
08/01/2023 19:00;--;3159;--;;;;;
08/01/2023 20:00;--;3159,625;--;;;;;
