Data-Hora;Nivel_Sensor(cm);Nivel_Display(cm);Chuva(mm);Chuva_Acum_Datalogger(mm);Temp_H2O;Press_Atm(mb);Temp_Int(C);Bateria(V);OffSet(cm);vazao(m3_s)
05/05/2023 08:00:00;9461.00;;0.00;;;;;;;
05/05/2023 09:00:00;9463.00;;0.00;;;;;;;
05/05/2023 10:00:00;9462.00;;0.00;;;;;;;
05/05/2023 11:00:00;9465.00;;0.00;;;;;;;
05/05/2023 12:00:00;9465.00;;0.00;;;;;;;
05/05/2023 13:00:00;9461.00;;0.00;;;;;;;
05/05/2023 14:00:00;9461.00;;0.00;;;;;;;
05/05/2023 15:00:00;9461.00;;0.00;;;;;;;
05/05/2023 16:00:00;9456.00;;0.00;;;;;;;
05/05/2023 17:00:00;9453.00;;0.00;;;;;;;
05/05/2023 18:00:00;9451.00;;0.00;;;;;;;
05/05/2023 19:00:00;9454.00;;0.00;;;;;;;
05/05/2023 20:00:00;9454.00;;0.00;;;;;;;
05/05/2023 21:00:00;9455.00;;0.00;;;;;;;
05/05/2023 22:00:00;9457.00;;0.00;;;;;;;
05/05/2023 23:00:00;9458.00;;0.00;;;;;;;
06/05/2023 00:00:00;9461.00;;0.00;;;;;;;
06/05/2023 01:00:00;9464.00;;0.00;;;;;;;
06/05/2023 02:00:00;9467.00;;0.00;;;;;;;
06/05/2023 03:00:00;9471.00;;0.00;;;;;;;
06/05/2023 04:00:00;9477.00;;0.00;;;;;;;
06/05/2023 05:00:00;9485.00;;0.00;;;;;;;
06/05/2023 06:00:00;9490.00;;0.00;;;;;;;
06/05/2023 07:00:00;9498.00;;0.00;;;;;;;
06/05/2023 08:00:00;9505.00;;0.00;;;;;;;
06/05/2023 09:00:00;9512.00;;0.00;;;;;;;
06/05/2023 10:00:00;9519.00;;0.00;;;;;;;
06/05/2023 11:00:00;9524.00;;0.00;;;;;;;
06/05/2023 12:00:00;9528.00;;0.00;;;;;;;
06/05/2023 13:00:00;9534.00;;0.00;;;;;;;
06/05/2023 14:00:00;9538.00;;0.00;;;;;;;
06/05/2023 15:00:00;9538.00;;0.00;;;;;;;
06/05/2023 16:00:00;9540.00;;0.00;;;;;;;
06/05/2023 17:00:00;9536.00;;0.00;;;;;;;
06/05/2023 18:00:00;9531.00;;0.00;;;;;;;
06/05/2023 19:00:00;9527.00;;0.00;;;;;;;
06/05/2023 20:00:00;9525.00;;0.00;;;;;;;
06/05/2023 21:00:00;9531.00;;0.00;;;;;;;
06/05/2023 22:00:00;9534.00;;0.00;;;;;;;
06/05/2023 23:00:00;9544.00;;0.00;;;;;;;
07/05/2023 00:00:00;9547.00;;0.00;;;;;;;
07/05/2023 01:00:00;9552.00;;0.00;;;;;;;
07/05/2023 02:00:00;9558.00;;0.00;;;;;;;
07/05/2023 03:00:00;9566.00;;0.00;;;;;;;
07/05/2023 04:00:00;9572.00;;0.00;;;;;;;
07/05/2023 05:00:00;9577.00;;0.00;;;;;;;
07/05/2023 06:00:00;9584.00;;0.00;;;;;;;
07/05/2023 07:00:00;9588.00;;0.00;;;;;;;
07/05/2023 08:00:00;9594.00;;0.00;;;;;;;
07/05/2023 09:00:00;9600.00;;0.00;;;;;;;
07/05/2023 10:00:00;9603.00;;0.00;;;;;;;
07/05/2023 11:00:00;9607.00;;0.00;;;;;;;
07/05/2023 12:00:00;9612.00;;0.00;;;;;;;
07/05/2023 13:00:00;9615.00;;0.00;;;;;;;
07/05/2023 14:00:00;9619.00;;0.00;;;;;;;
07/05/2023 15:00:00;9623.00;;0.00;;;;;;;
07/05/2023 16:00:00;9623.00;;0.00;;;;;;;
07/05/2023 17:00:00;9619.00;;0.00;;;;;;;
07/05/2023 18:00:00;9615.00;;0.00;;;;;;;
07/05/2023 19:00:00;9612.00;;0.00;;;;;;;
07/05/2023 20:00:00;9610.00;;0.00;;;;;;;
07/05/2023 21:00:00;9616.00;;0.00;;;;;;;
07/05/2023 22:00:00;9617.00;;0.00;;;;;;;
07/05/2023 23:00:00;9621.00;;0.00;;;;;;;
08/05/2023 00:00:00;9623.00;;0.00;;;;;;;
08/05/2023 01:00:00;9627.00;;0.00;;;;;;;
08/05/2023 02:00:00;9629.00;;0.00;;;;;;;
08/05/2023 03:00:00;9632.00;;0.00;;;;;;;
08/05/2023 04:00:00;9634.00;;0.00;;;;;;;
08/05/2023 05:00:00;9634.00;;0.00;;;;;;;
08/05/2023 06:00:00;9630.00;;0.00;;;;;;;
08/05/2023 07:00:00;9629.00;;0.00;;;;;;;
08/05/2023 08:00:00;9627.00;;0.00;;;;;;;
08/05/2023 09:00:00;9623.00;;0.00;;;;;;;
08/05/2023 10:00:00;9619.00;;0.00;;;;;;;
08/05/2023 11:00:00;9616.00;;0.00;;;;;;;
08/05/2023 12:00:00;9613.00;;0.00;;;;;;;
08/05/2023 13:00:00;9610.00;;0.00;;;;;;;
08/05/2023 14:00:00;9605.00;;0.00;;;;;;;
08/05/2023 15:00:00;9603.00;;0.00;;;;;;;
08/05/2023 16:00:00;9602.00;;0.00;;;;;;;
08/05/2023 17:00:00;9600.00;;0.00;;;;;;;
08/05/2023 18:00:00;9596.00;;0.00;;;;;;;
08/05/2023 19:00:00;9601.00;;0.00;;;;;;;
08/05/2023 20:00:00;9602.00;;0.00;;;;;;;
08/05/2023 21:00:00;9599.00;;0.00;;;;;;;
08/05/2023 22:00:00;9599.00;;0.00;;;;;;;
08/05/2023 23:00:00;9601.00;;0.00;;;;;;;
09/05/2023 00:00:00;9600.00;;0.00;;;;;;;
09/05/2023 01:00:00;9597.00;;0.00;;;;;;;
09/05/2023 02:00:00;9596.00;;0.00;;;;;;;
09/05/2023 03:00:00;9595.00;;0.00;;;;;;;
09/05/2023 04:00:00;9594.00;;0.00;;;;;;;
09/05/2023 05:00:00;9587.00;;0.00;;;;;;;
09/05/2023 06:00:00;9582.00;;0.00;;;;;;;
09/05/2023 07:00:00;9578.00;;0.00;;;;;;;
09/05/2023 08:00:00;9577.00;;0.00;;;;;;;
09/05/2023 09:00:00;9575.00;;0.00;;;;;;;
09/05/2023 10:00:00;9570.00;;0.00;;;;;;;
09/05/2023 11:00:00;9568.00;;0.00;;;;;;;
09/05/2023 12:00:00;9566.00;;0.00;;;;;;;
09/05/2023 13:00:00;9563.00;;0.00;;;;;;;
09/05/2023 14:00:00;9562.00;;0.00;;;;;;;
09/05/2023 15:00:00;9560.00;;0.00;;;;;;;
09/05/2023 16:00:00;9554.00;;0.00;;;;;;;
09/05/2023 17:00:00;9548.00;;0.00;;;;;;;
09/05/2023 18:00:00;9546.00;;0.00;;;;;;;
09/05/2023 19:00:00;9547.00;;0.00;;;;;;;
09/05/2023 20:00:00;9548.00;;0.00;;;;;;;
09/05/2023 21:00:00;9548.00;;0.00;;;;;;;
09/05/2023 22:00:00;9548.00;;0.00;;;;;;;
09/05/2023 23:00:00;9549.00;;0.00;;;;;;;
10/05/2023 00:00:00;9550.00;;0.00;;;;;;;
10/05/2023 01:00:00;9551.00;;0.00;;;;;;;
10/05/2023 02:00:00;9551.00;;0.00;;;;;;;
10/05/2023 03:00:00;9552.00;;0.00;;;;;;;
10/05/2023 04:00:00;9552.00;;0.00;;;;;;;
10/05/2023 05:00:00;9550.00;;0.00;;;;;;;
10/05/2023 06:00:00;9546.00;;0.00;;;;;;;
10/05/2023 07:00:00;9545.00;;0.00;;;;;;;
10/05/2023 08:00:00;9543.00;;0.00;;;;;;;
10/05/2023 09:00:00;9543.00;;0.00;;;;;;;
10/05/2023 10:00:00;9541.00;;0.00;;;;;;;
10/05/2023 11:00:00;9539.00;;0.00;;;;;;;
10/05/2023 12:00:00;9538.00;;0.00;;;;;;;
10/05/2023 13:00:00;9538.00;;0.00;;;;;;;
10/05/2023 14:00:00;9534.00;;0.00;;;;;;;
10/05/2023 15:00:00;9534.00;;0.00;;;;;;;
10/05/2023 16:00:00;9525.00;;0.00;;;;;;;
10/05/2023 17:00:00;9522.00;;0.00;;;;;;;
10/05/2023 18:00:00;9513.00;;0.00;;;;;;;
10/05/2023 19:00:00;9508.00;;0.00;;;;;;;
