Data-Hora;Nivel_Sensor(cm);Nivel_Display(cm);Chuva(mm);Chuva_Acum_Datalogger(mm);Temp_H2O;Press_Atm(mb);Temp_Int(C);Bateria(V);OffSet(cm);vazao(m3_s)
01/05/2023 00:00:00;242.00;;0.00;;;;;;;63.42
01/05/2023 01:00:00;243.00;;0.00;;;;;;;66.50
01/05/2023 02:00:00;242.00;;0.00;;;;;;;63.42
01/05/2023 03:00:00;242.00;;0.00;;;;;;;63.42
01/05/2023 04:00:00;242.00;;0.00;;;;;;;63.42
01/05/2023 05:00:00;242.00;;0.00;;;;;;;63.42
01/05/2023 06:00:00;243.00;;0.00;;;;;;;66.50
01/05/2023 07:00:00;243.00;;0.00;;;;;;;66.50
01/05/2023 08:00:00;240.00;;0.00;;;;;;;57.46
01/05/2023 09:00:00;237.00;;0.00;;;;;;;49.08
01/05/2023 10:00:00;237.00;;0.00;;;;;;;49.08
01/05/2023 11:00:00;237.00;;0.00;;;;;;;49.08
01/05/2023 12:00:00;237.00;;0.00;;;;;;;49.08
01/05/2023 13:00:00;235.00;;0.00;;;;;;;43.85
01/05/2023 14:00:00;234.00;;0.00;;;;;;;41.34
01/05/2023 15:00:00;234.00;;0.00;;;;;;;41.34
01/05/2023 16:00:00;234.00;;0.00;;;;;;;41.34
01/05/2023 17:00:00;232.00;;0.00;;;;;;;36.55
01/05/2023 18:00:00;234.00;;0.00;;;;;;;41.34
01/05/2023 19:00:00;237.00;;0.00;;;;;;;49.08
01/05/2023 20:00:00;239.00;;0.00;;;;;;;54.60
01/05/2023 21:00:00;240.00;;0.00;;;;;;;57.46
01/05/2023 22:00:00;242.00;;0.00;;;;;;;63.42
01/05/2023 23:00:00;240.00;;0.00;;;;;;;57.46
02/05/2023 00:00:00;240.00;;0.00;;;;;;;57.46
02/05/2023 01:00:00;240.00;;0.00;;;;;;;57.46
02/05/2023 02:00:00;240.00;;0.00;;;;;;;57.46
02/05/2023 03:00:00;239.00;;0.00;;;;;;;54.60
02/05/2023 04:00:00;240.00;;0.00;;;;;;;57.46
02/05/2023 05:00:00;240.00;;0.20;;;;;;;57.46
02/05/2023 06:00:00;240.00;;0.00;;;;;;;57.46
02/05/2023 07:00:00;240.00;;0.00;;;;;;;57.46
02/05/2023 08:00:00;242.00;;0.00;;;;;;;63.42
02/05/2023 09:00:00;242.00;;0.00;;;;;;;63.42
02/05/2023 10:00:00;237.00;;0.00;;;;;;;49.08
02/05/2023 11:00:00;235.00;;0.00;;;;;;;43.85
02/05/2023 12:00:00;235.00;;0.00;;;;;;;43.85
02/05/2023 13:00:00;234.00;;0.00;;;;;;;41.34
02/05/2023 14:00:00;232.00;;0.00;;;;;;;36.55
02/05/2023 15:00:00;232.00;;0.00;;;;;;;36.55
02/05/2023 16:00:00;232.00;;0.00;;;;;;;36.55
02/05/2023 17:00:00;232.00;;0.00;;;;;;;36.55
02/05/2023 18:00:00;234.00;;0.00;;;;;;;41.34
02/05/2023 19:00:00;235.00;;0.00;;;;;;;43.85
02/05/2023 20:00:00;235.00;;0.00;;;;;;;43.85
02/05/2023 21:00:00;237.00;;0.00;;;;;;;49.08
02/05/2023 22:00:00;235.00;;0.00;;;;;;;43.85
02/05/2023 23:00:00;236.00;;0.00;;;;;;;46.43
03/05/2023 00:00:00;239.00;;2.80;;;;;;;54.60
03/05/2023 01:00:00;242.00;;10.80;;;;;;;63.42
03/05/2023 02:00:00;242.00;;1.60;;;;;;;63.42
03/05/2023 03:00:00;242.00;;0.20;;;;;;;63.42
03/05/2023 04:00:00;241.00;;0.00;;;;;;;60.40
03/05/2023 05:00:00;243.00;;0.00;;;;;;;66.50
03/05/2023 06:00:00;243.00;;0.00;;;;;;;66.50
03/05/2023 07:00:00;245.00;;0.00;;;;;;;72.89
03/05/2023 08:00:00;247.00;;0.00;;;;;;;77.38
03/05/2023 09:00:00;247.00;;0.00;;;;;;;77.38
03/05/2023 10:00:00;240.00;;0.00;;;;;;;57.46
